epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4921,1.90285,3.85705,1.81702,0.01262,0.8125,0.13313,0.04322,1.58946,4.10997,1.67887,4.614e-05,4.614e-05,4.614e-05
2,54.5321,1.54635,3.74275,1.62596,0.00969,0.8125,0.12299,0.05202,1.70887,4.13489,1.65043,9.79906e-05,9.79906e-05,9.79906e-05
3,80.989,1.27695,3.57576,1.41747,0.00774,0.875,0.1711,0.06389,1.66526,4.11826,1.5711,0.00014771,0.00014771,0.00014771
4,107.725,1.25267,3.45065,1.41691,0.00703,0.85,0.12063,0.05209,1.62406,4.13725,1.59516,0.000195297,0.000195297,0.000195297
5,134.117,1.15652,3.26987,1.35945,0.00583,0.725,0.08876,0.03342,1.8657,4.09938,1.76364,0.000240752,0.000240752,0.000240752
6,163.046,1.13215,3.09985,1.32153,0.0079,0.78137,0.09577,0.03213,1.8741,3.98849,1.86754,0.000284076,0.000284076,0.000284076
7,190.514,1.17249,2.87696,1.28796,0.01504,0.89118,0.11531,0.05719,1.58276,3.85811,1.56642,0.000325269,0.000325269,0.000325269
8,219.986,1.1881,2.78972,1.31048,0.01496,0.94559,0.19556,0.08356,1.57153,3.67449,1.56393,0.000364329,0.000364329,0.000364329
9,251.726,1.16284,2.68507,1.31066,0.42156,0.29167,0.24062,0.09453,1.82113,3.50974,1.9183,0.000401258,0.000401258,0.000401258
10,283.45,1.15477,2.61445,1.3107,0.51736,0.15273,0.25181,0.10825,1.4913,3.37667,1.65082,0.000436055,0.000436055,0.000436055
11,314.683,1.14303,2.49462,1.30311,0.44919,0.44167,0.34717,0.18109,1.46046,2.92576,1.56095,0.000468721,0.000468721,0.000468721
12,345.716,1.17699,2.53514,1.3241,0.30368,0.57277,0.39035,0.1925,1.50265,3.15623,1.57815,0.000499255,0.000499255,0.000499255
13,376.457,1.13064,2.37205,1.2835,0.29065,0.66313,0.38474,0.21689,1.45165,3.17569,1.52143,0.000527657,0.000527657,0.000527657
14,408.059,1.16913,2.33432,1.28779,0.24187,0.39712,0.39532,0.24875,1.43301,2.89054,1.45055,0.000553928,0.000553928,0.000553928
15,438.938,1.1496,2.33268,1.27134,0.62253,0.3,0.38586,0.26343,1.34958,2.51024,1.38646,0.000555833,0.000555833,0.000555833
16,471.514,1.14587,2.25841,1.26125,0.32251,0.43564,0.38501,0.27281,1.29122,2.58354,1.32095,0.000540607,0.000540607,0.000540607
17,505.028,1.12703,2.18405,1.26176,0.25351,0.44695,0.38915,0.26779,1.31798,2.67351,1.32039,0.000525381,0.000525381,0.000525381
18,539.238,1.08584,2.1843,1.22855,0.21493,0.41357,0.38241,0.25648,1.38553,2.77388,1.40017,0.000510155,0.000510155,0.000510155
19,571.78,1.11204,2.17241,1.25733,0.60598,0.3407,0.43699,0.28594,1.40279,2.50203,1.44895,0.000494928,0.000494928,0.000494928
20,605.12,1.07964,2.15109,1.23135,0.47539,0.5373,0.45676,0.29025,1.42669,2.30358,1.43932,0.000479702,0.000479702,0.000479702
21,636.457,1.07593,2.09731,1.24336,0.46668,0.43038,0.46235,0.29118,1.43515,2.17904,1.43587,0.000464476,0.000464476,0.000464476
22,666.88,1.03546,2.0098,1.19718,0.31868,0.42058,0.48278,0.2871,1.40111,2.14129,1.45904,0.00044925,0.00044925,0.00044925
23,696.922,1.13622,2.12892,1.25488,0.27578,0.43343,0.39919,0.23063,1.48729,2.38514,1.51176,0.000434024,0.000434024,0.000434024
24,728.243,1.04532,2.06882,1.21277,0.29275,0.45361,0.50023,0.30454,1.56311,2.3464,1.54581,0.000418797,0.000418797,0.000418797
25,759.242,1.05089,2.04308,1.20186,0.53714,0.46076,0.51759,0.28214,1.46733,2.23233,1.45948,0.000403571,0.000403571,0.000403571
26,790.628,1.06506,2.02261,1.22363,0.35097,0.63407,0.51092,0.29972,1.29275,2.11414,1.33652,0.000388345,0.000388345,0.000388345
27,820.668,1.01805,1.99074,1.17914,0.28776,0.54615,0.44534,0.28356,1.32356,2.13911,1.32387,0.000373119,0.000373119,0.000373119
28,850.817,1.04157,2.00496,1.20931,0.38518,0.47073,0.46608,0.28683,1.41192,2.11973,1.45839,0.000357893,0.000357893,0.000357893
29,881.214,1.0045,1.94134,1.18367,0.47438,0.47174,0.46828,0.28696,1.3762,2.12112,1.44862,0.000342666,0.000342666,0.000342666
30,917.566,1.02397,1.95316,1.17842,0.53599,0.41961,0.45576,0.29737,1.30121,2.07794,1.36857,0.00032744,0.00032744,0.00032744
31,950.812,0.99294,1.81957,1.14876,0.46396,0.46483,0.46357,0.3236,1.26253,2.0052,1.32331,0.000312214,0.000312214,0.000312214
32,981.425,0.99577,1.8652,1.18119,0.44164,0.39446,0.48553,0.31616,1.24298,1.93668,1.29063,0.000296988,0.000296988,0.000296988
33,1011.64,0.96621,1.86673,1.15571,0.63814,0.37334,0.5084,0.33219,1.23984,1.92086,1.27912,0.000281762,0.000281762,0.000281762
34,1041.56,0.96666,1.85087,1.14787,0.61824,0.41018,0.50473,0.32354,1.30395,1.87271,1.3269,0.000266535,0.000266535,0.000266535
35,1071.26,0.97306,1.80856,1.14681,0.25914,0.63015,0.41113,0.26454,1.23723,1.8831,1.30104,0.000251309,0.000251309,0.000251309
36,1101.03,0.94711,1.78847,1.13187,0.25642,0.64966,0.39976,0.25053,1.21845,1.92901,1.26431,0.000236083,0.000236083,0.000236083
37,1130.92,0.95791,1.81096,1.17028,0.42044,0.35302,0.40993,0.25538,1.21675,1.93111,1.26552,0.000220857,0.000220857,0.000220857
38,1161.12,0.94929,1.79833,1.13849,0.35097,0.60931,0.43154,0.28069,1.20715,1.87232,1.26644,0.000205631,0.000205631,0.000205631
39,1191.14,0.92589,1.73261,1.1236,0.37209,0.57555,0.48837,0.3328,1.19945,1.82621,1.26586,0.000190404,0.000190404,0.000190404
