Text: продолжение, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: no24, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: удовлетворение, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: потребностей, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: -с, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: глаз, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: гипоталамус, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: таламус, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: -с, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: мозжечок, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: -с, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: сломовыдельные, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: железы, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: no25, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: -с, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: Жирафы, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: имеют, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: длинную, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: шею, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: -с, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: соленая, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: артерия, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: располагается, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: в, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: шейном, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: отделе, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: -с, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
Text: -с, Number: 23, Confidence: 0.31, Bbox: [12.733675956726074, 414.0268859863281, 2309.7099609375, 2550.8916015625]
