Text: 14.1), Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: на, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: рис, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: изображен, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: одерж, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: с, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: слезоотделения, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: и, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: отсутствует, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: безгра, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: личный, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: разу, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: раздражитель, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: феоргекторный, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: центр, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: безмолвного, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: слюноотделительного, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: рефлекса, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: находиться, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: в, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: толкаль, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
Text: попуск, Number: 22, Confidence: 0.56, Bbox: [10.249580383300781, 15.056109428405762, 2305.519287109375, 1378.3922119140625]
