Text: кроссовере, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: за, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: рад, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: -с, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: без, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: аномалии, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: кисти, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: без, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: гипертрихоза, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: аномалия, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: кисти, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: о, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: худ, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: гипертрихоз, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: приход, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: аномалия, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: кисти, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: без, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: гипертрихоза, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: аномалии, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: кисти, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: без, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: хау, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: и, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: гипертрихоз, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: за, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: раза, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: Ув, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: не, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: заболеваний, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: аномалия, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: кисти, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
Text: без, Number: 28, Confidence: 0.92, Bbox: [38.08246612548828, 69.8001937866211, 2287.199951171875, 2434.006103515625]
