Text: калия, Number: 28, Confidence: 0.68, Bbox: [21.42591094970703, 21.01416015625, 2294.663818359375, 2268.89111328125]
Text: бо, Number: 28, Confidence: 0.68, Bbox: [21.42591094970703, 21.01416015625, 2294.663818359375, 2268.89111328125]
Text: АУ, Number: 28, Confidence: 0.68, Bbox: [21.42591094970703, 21.01416015625, 2294.663818359375, 2268.89111328125]
Text: развития, Number: 28, Confidence: 0.68, Bbox: [21.42591094970703, 21.01416015625, 2294.663818359375, 2268.89111328125]
Text: риски, Number: 28, Confidence: 0.68, Bbox: [21.42591094970703, 21.01416015625, 2294.663818359375, 2268.89111328125]
Text: голышки, Number: 28, Confidence: 0.68, Bbox: [21.42591094970703, 21.01416015625, 2294.663818359375, 2268.89111328125]
Text: пикши, Number: 28, Confidence: 0.68, Bbox: [21.42591094970703, 21.01416015625, 2294.663818359375, 2268.89111328125]
Text: кормильщик, Number: 28, Confidence: 0.68, Bbox: [21.42591094970703, 21.01416015625, 2294.663818359375, 2268.89111328125]
Text: развитие, Number: 28, Confidence: 0.68, Bbox: [21.42591094970703, 21.01416015625, 2294.663818359375, 2268.89111328125]
Text: скисшие, Number: 28, Confidence: 0.68, Bbox: [21.42591094970703, 21.01416015625, 2294.663818359375, 2268.89111328125]
Text: ед, Number: 28, Confidence: 0.68, Bbox: [21.42591094970703, 21.01416015625, 2294.663818359375, 2268.89111328125]
Text: ч, Number: 28, Confidence: 0.68, Bbox: [21.42591094970703, 21.01416015625, 2294.663818359375, 2268.89111328125]
Text: нормальное, Number: 28, Confidence: 0.68, Bbox: [21.42591094970703, 21.01416015625, 2294.663818359375, 2268.89111328125]
Text: покрытые, Number: 28, Confidence: 0.68, Bbox: [21.42591094970703, 21.01416015625, 2294.663818359375, 2268.89111328125]
Text: кисами, Number: 28, Confidence: 0.68, Bbox: [21.42591094970703, 21.01416015625, 2294.663818359375, 2268.89111328125]
Text: давние, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: -с, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: рекомендов, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: и, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: феномены, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: родителей, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: анормальное, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: ушлый, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: без, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: клиперы, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: итерацию, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: -с, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: (гамешь), Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: силы, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: гимнастика, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: зажмешь, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: непросоверы, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: кроссоверы, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: -с, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: рекоме, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: и, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: феномены, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
Text: нормальное, Number: 28, Confidence: 0.51, Bbox: [10.351592063903809, 664.5535278320312, 2242.2197265625, 2590.0]
