Text: может, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: увидеть, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: что, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: было, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: проведено, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: а, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: опыта, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: и, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: в, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: каждом, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: из, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: них, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: после, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: добавление, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: препарата, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: количество, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: вирусных, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: нерачительно, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: уменьшилось, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: по, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: оно, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: уменьшилось, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: а, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: после, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: снова, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: возрастало, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: -с, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: Вирусные, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: частицы, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: очень, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: быстро, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: понимают, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: как, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
Text: справляется, Number: 22, Confidence: 0.66, Bbox: [16.210718154907227, 0.6484410762786865, 2290.415771484375, 994.0398559570312]
