Text: -с, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: При, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: повышенном, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: артериальном, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: давлении, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: со, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: временем, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: возникает, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: вечность, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: питания, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: конечностей, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: потому, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: что, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: при, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: повышенном, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: давлении, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: и, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: кровь, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: меньше, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: насыщает, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: кислорода, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: подом, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: конечности, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: городом, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: -с, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: Задание, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: -с, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: безусловный, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: рефлекс, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: слюноотделения, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: при, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: отсутствии, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: безразличного, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: изображен, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: на, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: рисунке, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: а, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: -с, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: энское, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: анат, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: постоянно, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: павлов, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: У, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: всех, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: условным, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: рефлексом, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: на, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: этой, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: собаки, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: являлось, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: вкрепление, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: слюны, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: на, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: вир, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: Вир, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: и, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: за, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: вид, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: и, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: за, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: запах, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: еды, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: -с, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: рефлекторный, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: центр, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: безусловного, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: слюноотделительного, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: рефлекса, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: расположен, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: в, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: гипоталамусе, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: -с, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: И, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
Text: безусловной, Number: 22, Confidence: 0.57, Bbox: [0.0, 122.6398696899414, 2261.3974609375, 1130.904541015625]
