Text: рефлекс, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: слюноотделения, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: и, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: отсутствует, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: безраззраз-, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: раздражитель, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: как, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: собака, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: думает, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: корм, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: наделяется, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: слюнка, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: лампочка, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: при, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: этом, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
Text: не, Number: 24, Confidence: 0.32, Bbox: [38.43864440917969, 410.37298583984375, 2306.6123046875, 2590.0]
