Text: У, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: лимонадов, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: конечности, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: больше, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: и, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: длиннее, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: из-за, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: в, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: конечностях, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: больше, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: чего, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: количество, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: капилляров, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: Соединительная, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: ткань, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: защищает, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: их, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: от, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: механических, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: повреждений, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: не, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
Text: дает, Number: 24, Confidence: 0.53, Bbox: [14.177400588989258, 2217.455322265625, 2241.58349609375, 2590.0]
