Text: внимание, Number: none, Confidence: none, Bbox: none
Text: Все, Number: none, Confidence: none, Bbox: none
Text: бланки, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: контрольные, Number: none, Confidence: none, Bbox: none
Text: измерительные, Number: none, Confidence: none, Bbox: none
Text: материалы, Number: none, Confidence: none, Bbox: none
Text: рассматриваются, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: комплекте, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: потому, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: человек, Number: none, Confidence: none, Bbox: none
Text: восхи, Number: none, Confidence: none, Bbox: none
Text: был, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: выражен, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: клетками, Number: none, Confidence: none, Bbox: none
Text: добавляем, Number: none, Confidence: none, Bbox: none
Text: противо, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: виду, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: тем, Number: none, Confidence: none, Bbox: none
Text: смесь, Number: none, Confidence: none, Bbox: none
Text: эксперимент, Number: none, Confidence: none, Bbox: none
Text: взрастала, Number: none, Confidence: none, Bbox: none
Text: выбивали, Number: none, Confidence: none, Bbox: none
Text: заряжать, Number: none, Confidence: none, Bbox: none
Text: плетки, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: вирусе, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: девять, Number: none, Confidence: none, Bbox: none
Text: неявственное, Number: none, Confidence: none, Bbox: none
Text: средства, Number: none, Confidence: none, Bbox: none
Text: Или, Number: none, Confidence: none, Bbox: none
Text: гар, Number: none, Confidence: none, Bbox: none
