Text: низание, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: Все, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: бланки, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: и, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: контрольные, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: измерительные, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: материалы, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: риалы, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: рассматриваются, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: в, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: комплекте, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: -с, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: -с, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: а, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: брак, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: за, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: буль, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: нормальное, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: развитие, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: кисти, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: отсутствие, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: гипертрихоза, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: аномалия, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: развития, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: кисти, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: гипертрихоз, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: -с, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: некроссоверные:, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: кроссовере, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: -де, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: 9xaxa, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: -с, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: развитие, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: кисти, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: отсутствие, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: гипертрихоз, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: хаулааномалия, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: развития, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: гипертрихоз, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: а, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: а, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: а, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: -с, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: аномалия, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: развития, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: пистик, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: гипертрихоза, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: а, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: так, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: -с, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: нормальное, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: развитие, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: кисти, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: гипертрихоз, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: брак, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: -с, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: Рауль, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: аномалия, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: развития, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: листик, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: отсутствия, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: гипертрихоза, Number: 28, Confidence: 0.64, Bbox: [45.54018783569336, 133.41793823242188, 2239.466064453125, 2537.432861328125]
Text: нормальное, Number: 28, Confidence: 0.55, Bbox: [9.495731353759766, 1687.0340576171875, 2236.339111328125, 2589.001220703125]
Text: развитие, Number: 28, Confidence: 0.55, Bbox: [9.495731353759766, 1687.0340576171875, 2236.339111328125, 2589.001220703125]
Text: кисти, Number: 28, Confidence: 0.55, Bbox: [9.495731353759766, 1687.0340576171875, 2236.339111328125, 2589.001220703125]
Text: отсутствие, Number: 28, Confidence: 0.55, Bbox: [9.495731353759766, 1687.0340576171875, 2236.339111328125, 2589.001220703125]
Text: гипертрихоза, Number: 28, Confidence: 0.55, Bbox: [9.495731353759766, 1687.0340576171875, 2236.339111328125, 2589.001220703125]
Text: -с, Number: 28, Confidence: 0.55, Bbox: [9.495731353759766, 1687.0340576171875, 2236.339111328125, 2589.001220703125]
Text: -де, Number: 28, Confidence: 0.55, Bbox: [9.495731353759766, 1687.0340576171875, 2236.339111328125, 2589.001220703125]
Text: -де, Number: 28, Confidence: 0.55, Bbox: [9.495731353759766, 1687.0340576171875, 2236.339111328125, 2589.001220703125]
