Text: адаптация, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: вирусов, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: к, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: противовирусному, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: препарату, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: а, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: также, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: уничтожение, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: лекарственных, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: препаратов, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: и, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: борьба, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: а, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: ними, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: -с, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: -с, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: на, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: рисунке, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: под, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: буквой, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: А, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: изображен, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: безусловный, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: рефлекс, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: слюноотделения, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: и, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: отсутствует, Number: 22, Confidence: 0.45, Bbox: [47.36849594116211, 0.9111582040786743, 2269.275634765625, 385.8292236328125]
Text: безразличный, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: раздражитель, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: о, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: на, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: рисунке, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: под, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: цифрой, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: а, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: изображен, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: рефлекторный, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: безусловного, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: слюноотделительного, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: рефлекса, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: центр, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: В, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
Text: рефлекс, Number: 24, Confidence: 0.30, Bbox: [24.037460327148438, 874.7373657226562, 2300.73193359375, 2265.33544921875]
