Text: У, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: жирафов, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: на, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: блюдется, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: такое, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: высокое, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: давление, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: относительно, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: людей, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: сонным, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: артериях, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: так, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: как, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: относительно, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: людей, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: это, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: животное, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: облачное, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: облачное, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: т, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: щи, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
Text: гораздо, Number: 28, Confidence: 0.82, Bbox: [0.0, 399.70843505859375, 2219.8779296875, 2577.1357421875]
