Text: слащав, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: мужчина, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: с, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: аномии, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: кисти, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: и, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: гипертрихозом, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: р, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: дах, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: х, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: женщина, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: с, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: аномии, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: кисти, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: мужчина, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: с, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: норм, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: кист, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: терн, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: ж, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: зазвав, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: -с, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: с, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: норм, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: кистью, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: Чунцина, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: е, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: аномии, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: кистью, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: х, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: а, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: мужчина, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: с, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: норм, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: кистью, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: и, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: и, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: без, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: гиперона, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: мужчина, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: с, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: ином, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
Text: кистью, Number: 28, Confidence: 0.75, Bbox: [54.76076126098633, 0.0, 2303.60498046875, 1348.3460693359375]
