Text: а, Number: 22, Confidence: 0.51, Bbox: [923.5164794921875, 26.269119262695312, 2288.810791015625, 912.0538330078125]
Text: а, Number: 22, Confidence: 0.51, Bbox: [923.5164794921875, 26.269119262695312, 2288.810791015625, 912.0538330078125]
Text: а, Number: 22, Confidence: 0.87, Bbox: [37.6336669921875, 17.691864013671875, 2297.6171875, 926.2398071289062]
Text: Отзыв, Number: 22, Confidence: 0.87, Bbox: [37.6336669921875, 17.691864013671875, 2297.6171875, 926.2398071289062]
Text: контроль, Number: 22, Confidence: 0.87, Bbox: [37.6336669921875, 17.691864013671875, 2297.6171875, 926.2398071289062]
Text: не, Number: 22, Confidence: 0.51, Bbox: [923.5164794921875, 26.269119262695312, 2288.810791015625, 912.0538330078125]
Text: является, Number: 22, Confidence: 0.51, Bbox: [923.5164794921875, 26.269119262695312, 2288.810791015625, 912.0538330078125]
Text: адекватным, Number: 22, Confidence: 0.51, Bbox: [923.5164794921875, 26.269119262695312, 2288.810791015625, 912.0538330078125]
Text: потом, Number: 22, Confidence: 0.51, Bbox: [923.5164794921875, 26.269119262695312, 2288.810791015625, 912.0538330078125]
Text: что, Number: 22, Confidence: 0.87, Bbox: [37.6336669921875, 17.691864013671875, 2297.6171875, 926.2398071289062]
Text: препарат, Number: 22, Confidence: 0.87, Bbox: [37.6336669921875, 17.691864013671875, 2297.6171875, 926.2398071289062]
Text: купленный, Number: 22, Confidence: 0.87, Bbox: [37.6336669921875, 17.691864013671875, 2297.6171875, 926.2398071289062]
Text: в, Number: 22, Confidence: 0.51, Bbox: [923.5164794921875, 26.269119262695312, 2288.810791015625, 912.0538330078125]
Text: аптеке, Number: 22, Confidence: 0.51, Bbox: [923.5164794921875, 26.269119262695312, 2288.810791015625, 912.0538330078125]
Text: может, Number: 22, Confidence: 0.51, Bbox: [923.5164794921875, 26.269119262695312, 2288.810791015625, 912.0538330078125]
Text: отличаться, Number: 22, Confidence: 0.51, Bbox: [923.5164794921875, 26.269119262695312, 2288.810791015625, 912.0538330078125]
Text: составом, Number: 22, Confidence: 0.87, Bbox: [37.6336669921875, 17.691864013671875, 2297.6171875, 926.2398071289062]
Text: Этот, Number: 22, Confidence: 0.87, Bbox: [37.6336669921875, 17.691864013671875, 2297.6171875, 926.2398071289062]
Text: препарат, Number: 22, Confidence: 0.87, Bbox: [37.6336669921875, 17.691864013671875, 2297.6171875, 926.2398071289062]
Text: может, Number: 22, Confidence: 0.51, Bbox: [923.5164794921875, 26.269119262695312, 2288.810791015625, 912.0538330078125]
Text: подействовать, Number: 22, Confidence: 0.51, Bbox: [923.5164794921875, 26.269119262695312, 2288.810791015625, 912.0538330078125]
Text: на, Number: 22, Confidence: 0.51, Bbox: [923.5164794921875, 26.269119262695312, 2288.810791015625, 912.0538330078125]
Text: вирусы, Number: 22, Confidence: 0.51, Bbox: [923.5164794921875, 26.269119262695312, 2288.810791015625, 912.0538330078125]
Text: а, Number: 22, Confidence: 0.51, Bbox: [923.5164794921875, 26.269119262695312, 2288.810791015625, 912.0538330078125]
Text: может, Number: 22, Confidence: 0.87, Bbox: [37.6336669921875, 17.691864013671875, 2297.6171875, 926.2398071289062]
Text: не, Number: 22, Confidence: 0.87, Bbox: [37.6336669921875, 17.691864013671875, 2297.6171875, 926.2398071289062]
Text: подействовать, Number: 22, Confidence: 0.87, Bbox: [37.6336669921875, 17.691864013671875, 2297.6171875, 926.2398071289062]
Text: из-за, Number: 22, Confidence: 0.51, Bbox: [923.5164794921875, 26.269119262695312, 2288.810791015625, 912.0538330078125]
Text: чего, Number: 22, Confidence: 0.51, Bbox: [923.5164794921875, 26.269119262695312, 2288.810791015625, 912.0538330078125]
