Text: 22.1., Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: Потому, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: что, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: введение, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: противовирусного, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: препаратавоздействие, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: ме, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: объект, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: условия, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: эксперимента, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: ме, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: ваяются, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: -с, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: Отрицательный, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: контроль, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: для, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: этого, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: эксперимента, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: заразить, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: плетки, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: человека, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: вирус, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: и, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: продолжать, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
Text: город, Number: 22, Confidence: 0.48, Bbox: [32.140594482421875, 1.5437602996826172, 2283.65576171875, 1162.4949951171875]
