Text: конт, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: контроль, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: в, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: действие, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: может, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: ставить, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: виться, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: на, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: объекте, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: на, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: экс, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: экспериментальное, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: данной, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: ткан, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: к, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: клетка, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: довершаться, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: противовес, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: про, Number: 22, Confidence: 0.30, Bbox: [0.0, 25.655136108398438, 2221.587646484375, 370.03558349609375]
Text: обвалить, Number: 22, Confidence: 0.35, Bbox: [1.833740234375, 344.2486877441406, 2219.833740234375, 837.5275268554688]
Text: контроль, Number: 22, Confidence: 0.35, Bbox: [1.833740234375, 344.2486877441406, 2219.833740234375, 837.5275268554688]
Text: не, Number: 22, Confidence: 0.35, Bbox: [1.833740234375, 344.2486877441406, 2219.833740234375, 837.5275268554688]
Text: противовикупрепарат, Number: 22, Confidence: 0.35, Bbox: [1.833740234375, 344.2486877441406, 2219.833740234375, 837.5275268554688]
Text: половиц, Number: 22, Confidence: 0.35, Bbox: [1.833740234375, 344.2486877441406, 2219.833740234375, 837.5275268554688]
Text: оставить, Number: 22, Confidence: 0.35, Bbox: [1.833740234375, 344.2486877441406, 2219.833740234375, 837.5275268554688]
Text: темпера, Number: 22, Confidence: 0.35, Bbox: [1.833740234375, 344.2486877441406, 2219.833740234375, 837.5275268554688]
Text: питание, Number: 22, Confidence: 0.35, Bbox: [1.833740234375, 344.2486877441406, 2219.833740234375, 837.5275268554688]
Text: как, Number: 22, Confidence: 0.35, Bbox: [1.833740234375, 344.2486877441406, 2219.833740234375, 837.5275268554688]
Text: как, Number: 22, Confidence: 0.35, Bbox: [1.833740234375, 344.2486877441406, 2219.833740234375, 837.5275268554688]
Text: образовавшихся, Number: 22, Confidence: 0.35, Bbox: [1.833740234375, 344.2486877441406, 2219.833740234375, 837.5275268554688]
Text: вирусов, Number: 22, Confidence: 0.35, Bbox: [1.833740234375, 344.2486877441406, 2219.833740234375, 837.5275268554688]
Text: нет, Number: 22, Confidence: 0.35, Bbox: [1.833740234375, 344.2486877441406, 2219.833740234375, 837.5275268554688]
Text: так, Number: 22, Confidence: 0.35, Bbox: [1.833740234375, 344.2486877441406, 2219.833740234375, 837.5275268554688]
Text: как, Number: 22, Confidence: 0.35, Bbox: [1.833740234375, 344.2486877441406, 2219.833740234375, 837.5275268554688]
Text: правовед, Number: 22, Confidence: 0.35, Bbox: [1.833740234375, 344.2486877441406, 2219.833740234375, 837.5275268554688]
Text: пи, Number: 22, Confidence: 0.35, Bbox: [1.833740234375, 344.2486877441406, 2219.833740234375, 837.5275268554688]
Text: место, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: тай, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: как, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: середь, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: в, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: для, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: вирусных, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: вище, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: уничтожаться, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: помощью, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: катите, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: микроскопия, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: электронная, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: способы, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: кру, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: и, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: стали, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: руся, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: тысяче, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: друзей, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
Text: собственно, Number: 22, Confidence: 0.67, Bbox: [0.0, 818.9157104492188, 2217.3505859375, 1644.373046875]
