Text: от, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: безусловных, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: рефлексов, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: раздражитель, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: -с, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: Сначала, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: будет, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: загораться, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: аммония, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: рецепторы, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: расположенные, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: в, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: глазах, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: воспримут, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: свет, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: и, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: образуется, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: нервный, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: импульс, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: который, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: пойдет, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: в, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: чувствительный, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: нейрон, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: рефлекторной, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: дуги, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: -с, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: Потом, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: чувствительный, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: астрой, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: передаст, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: импульс, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: в, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: вставочный, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: нейрон, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
Text: и, Number: 22, Confidence: 0.44, Bbox: [0.0, 70.34632110595703, 2267.4013671875, 1744.8673095703125]
