Text: а, Number: none, Confidence: none, Bbox: none
Text: уг, Number: none, Confidence: none, Bbox: none
Text: кисть, Number: none, Confidence: none, Bbox: none
Text: аномалия, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: х, Number: none, Confidence: none, Bbox: none
Text: психоз, Number: none, Confidence: none, Bbox: none
Text: три, Number: none, Confidence: none, Bbox: none
Text: -то, Number: none, Confidence: none, Bbox: none
Text: норм, Number: none, Confidence: none, Bbox: none
Text: кисть, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: да, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: первом, Number: none, Confidence: none, Bbox: none
Text: браке, Number: none, Confidence: none, Bbox: none
Text: воз, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: рождение, Number: none, Confidence: none, Bbox: none
Text: охв, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: девочки, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: нормальным, Number: none, Confidence: none, Bbox: none
Text: влитием, Number: none, Confidence: none, Bbox: none
Text: развивает, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: гипюр, Number: none, Confidence: none, Bbox: none
Text: трихопол, Number: none, Confidence: none, Bbox: none
Text: гипер, Number: none, Confidence: none, Bbox: none
Text: трихозом, Number: none, Confidence: none, Bbox: none
