Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Условный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: расположили, Number: none, Confidence: none, Bbox: none
Text: под, Number: none, Confidence: none, Bbox: none
Text: вызванный, Number: none, Confidence: none, Bbox: none
Text: световым, Number: none, Confidence: none, Bbox: none
Text: раздражителем, Number: none, Confidence: none, Bbox: none
Text: Когда, Number: none, Confidence: none, Bbox: none
Text: собаку, Number: none, Confidence: none, Bbox: none
Text: кормят, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: включенном, Number: none, Confidence: none, Bbox: none
Text: свете, Number: none, Confidence: none, Bbox: none
Text: глаз, Number: none, Confidence: none, Bbox: none
Text: воспринимает, Number: none, Confidence: none, Bbox: none
Text: раздражитель, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: передает, Number: none, Confidence: none, Bbox: none
Text: его, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: мозг, Number: none, Confidence: none, Bbox: none
Text: затылочную, Number: none, Confidence: none, Bbox: none
Text: долю, Number: none, Confidence: none, Bbox: none
Text: Параллельно, Number: none, Confidence: none, Bbox: none
Text: этим, Number: none, Confidence: none, Bbox: none
Text: работает, Number: none, Confidence: none, Bbox: none
Text: сменноотделение,, Number: none, Confidence: none, Bbox: none
Text: поскольку, Number: none, Confidence: none, Bbox: none
Text: собака, Number: none, Confidence: none, Bbox: none
Text: привыкла, Number: none, Confidence: none, Bbox: none
Text: отделять, Number: none, Confidence: none, Bbox: none
Text: выделять, Number: none, Confidence: none, Bbox: none
Text: смену, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: приеме, Number: none, Confidence: none, Bbox: none
Text: жизн, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Когда, Number: none, Confidence: none, Bbox: none
Text: снова, Number: none, Confidence: none, Bbox: none
Text: включают, Number: none, Confidence: none, Bbox: none
Text: свет, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: этом, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: ставят, Number: none, Confidence: none, Bbox: none
Text: Зрительный, Number: none, Confidence: none, Bbox: none
Text: нерв, Number: none, Confidence: none, Bbox: none
Text: передает, Number: none, Confidence: none, Bbox: none
Text: инерцию, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: передний, Number: none, Confidence: none, Bbox: none
Text: мор, Number: none, Confidence: none, Bbox: none
