Text: продолжение, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: no25, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: циркулировать, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: -с, Number: 24, Confidence: 0.33, Bbox: [7.071904182434082, 10.806878089904785, 2303.343505859375, 967.4404907226562]
Text: Соли, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: застаиваются, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: в, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: нижних, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: конечно, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: остях, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: -с, Number: 24, Confidence: 0.33, Bbox: [7.071904182434082, 10.806878089904785, 2303.343505859375, 967.4404907226562]
Text: В, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: соответствии, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: с, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: законом, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: Осмоса, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: вода, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: концентрируется, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: в, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: нижних, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
Text: конечностях, Number: 24, Confidence: 0.33, Bbox: [7.071904182434082, 10.806878089904785, 2303.343505859375, 967.4404907226562]
Text: -с, Number: 22, Confidence: 0.74, Bbox: [42.82564163208008, 9.861725807189941, 2277.684326171875, 990.1859130859375]
