Text: патологически, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: -с, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: У, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: людей, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: при, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: зрительном, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: артерии, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: термальном, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: возникать, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: давление, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: ногам, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: приходят, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: повышенным, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: вызывает, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: вместе, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: которая, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: может, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: оптическом, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: повышенном, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: отечность, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: тканевой, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: жидкости, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: большое, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: количество, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: крови, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
Text: отечность, Number: 25, Confidence: 0.59, Bbox: [66.37897491455078, 43.93267059326172, 2301.22412109375, 406.05078125]
