Text: кати, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: работают, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: при, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: опасных, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: ситуациях, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: инстинкт, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: самосохранения, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: -с, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: берестовые, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: рефлексы, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: работают, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: всегда, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: глотание, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: -с, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: Инстинкты, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: могут, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: не, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: выработа, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: у, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: орга, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: низка, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: а, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: беззубы, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: рефлексы, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: врожденные, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: Элементы, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: реакторной, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
Text: душ, Number: 22, Confidence: 0.78, Bbox: [19.088781356811523, 75.42479705810547, 2307.193115234375, 1334.9422607421875]
