Text: no22, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: Такой, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: отрицательный, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: контроль, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: не, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: явля, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: бьется, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: достоверным, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: так, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: внесение, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: препарата, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: является, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: независимой, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: переменной, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: которая, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: не, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: должна, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: влиять, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: на, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: изучаемые, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: объекты, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: при, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: отрицательном, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: контроль, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: Все, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: остальные, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: условия, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: политическая, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: препарата, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: неизм, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: бензин, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: ны, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: кем, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: так, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: no27, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: чайницы, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: без, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: благодаря, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: препарату, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: становятся, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: в, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: неактивном, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
Text: состоя, Number: 22, Confidence: 0.35, Bbox: [54.548831939697266, 30.344524383544922, 2293.4033203125, 760.5841674804688]
