Text: вниманиеданный, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: использовать, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: только, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: после, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: заполнения, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: бланка, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: ответов, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: -с, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: а, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: лист, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: а, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: переизбыток, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: к, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: Прови, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: в, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: конечностях, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: Они, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: наполняются, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: ой, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: и, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: стекают, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: раздувают, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: по, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: при, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: причине, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: большого, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: волхве, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: крову, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: плав, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: -с, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: надоили, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: пои, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: древние, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: предки, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: в, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: предоп, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: мнительно, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: в, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: камбисты, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: местностях, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: возможно, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: горазд, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: ном, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: кишлаке, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: то, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: что, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: они, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: обитали, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: в, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: скалистых, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: шалостям, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: можно, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: предположить, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
Text: по, Number: 22, Confidence: 0.40, Bbox: [0.0, 82.60920715332031, 2266.494873046875, 2490.028564453125]
