Text: В, Number: none, Confidence: none, Bbox: none
Text: первом, Number: none, Confidence: none, Bbox: none
Text: браке, Number: none, Confidence: none, Bbox: none
Text: возможно, Number: none, Confidence: none, Bbox: none
Text: рождение, Number: none, Confidence: none, Bbox: none
Text: такого, Number: none, Confidence: none, Bbox: none
Text: ребенка, Number: none, Confidence: none, Bbox: none
Text: его, Number: none, Confidence: none, Bbox: none
Text: линотип, Number: none, Confidence: none, Bbox: none
Text: був, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: матери, Number: none, Confidence: none, Bbox: none
Text: он, Number: none, Confidence: none, Bbox: none
Text: получит, Number: none, Confidence: none, Bbox: none
Text: галиту, Number: none, Confidence: none, Bbox: none
Text: ах, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: отца, Number: none, Confidence: none, Bbox: none
Text: ороговевшую, Number: none, Confidence: none, Bbox: none
Text: комету, Number: none, Confidence: none, Bbox: none
Text: (у2)., Number: none, Confidence: none, Bbox: none
Text: Рождение, Number: none, Confidence: none, Bbox: none
Text: возможно, Number: none, Confidence: none, Bbox: none
Text: тели, Number: none, Confidence: none, Bbox: none
Text: произойдет, Number: none, Confidence: none, Bbox: none
Text: кроссинговер, Number: none, Confidence: none, Bbox: none
Text: Задание, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: да, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: ты, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: введения, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: уменьшилось, Number: none, Confidence: none, Bbox: none
Text: количество, Number: none, Confidence: none, Bbox: none
Text: виденных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: если, Number: none, Confidence: none, Bbox: none
Text: вы, Number: none, Confidence: none, Bbox: none
Text: Метод, Number: none, Confidence: none, Bbox: none
Text: центрифугирования, Number: none, Confidence: none, Bbox: none
Text: позволяет, Number: none, Confidence: none, Bbox: none
Text: установить, Number: none, Confidence: none, Bbox: none
Text: влияет, Number: none, Confidence: none, Bbox: none
Text: ли, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: целостность, Number: none, Confidence: none, Bbox: none
Text: вирусного, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: показывает, Number: none, Confidence: none, Bbox: none
Text: осажденные, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: результате, Number: none, Confidence: none, Bbox: none
Text: центрифугирование, Number: none, Confidence: none, Bbox: none
Text: вещества, Number: none, Confidence: none, Bbox: none
Text: выходившиеся, Number: none, Confidence: none, Bbox: none
Text: внутри, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: вирусы, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: проявляют, Number: none, Confidence: none, Bbox: none
Text: свойств, Number: none, Confidence: none, Bbox: none
Text: живого, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: презентами, Number: none, Confidence: none, Bbox: none
Text: клеток, Number: none, Confidence: none, Bbox: none
Text: организмов, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: проте, Number: none, Confidence: none, Bbox: none
Text: Вирус, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: размножения, Number: none, Confidence: none, Bbox: none
Text: встречает, Number: none, Confidence: none, Bbox: none
Text: свою, Number: none, Confidence: none, Bbox: none
Text: Дни, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: Дни, Number: none, Confidence: none, Bbox: none
Text: хозяина, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: же, Number: none, Confidence: none, Bbox: none
Text: может, Number: none, Confidence: none, Bbox: none
Text: подобрать, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
