Text: Данный, Number: none, Confidence: none, Bbox: none
Text: бланк, Number: none, Confidence: none, Bbox: none
Text: использовать, Number: none, Confidence: none, Bbox: none
Text: только, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: заполнения, Number: none, Confidence: none, Bbox: none
Text: мнения, Number: none, Confidence: none, Bbox: none
Text: обоих, Number: none, Confidence: none, Bbox: none
Text: листов, Number: none, Confidence: none, Bbox: none
Text: основного, Number: none, Confidence: none, Bbox: none
Text: бланка, Number: none, Confidence: none, Bbox: none
Text: ответов, Number: none, Confidence: none, Bbox: none
Text: лг, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: ши, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: жирафов, Number: none, Confidence: none, Bbox: none
Text: очень, Number: none, Confidence: none, Bbox: none
Text: длинная, Number: none, Confidence: none, Bbox: none
Text: моя, Number: none, Confidence: none, Bbox: none
Text: это, Number: none, Confidence: none, Bbox: none
Text: связанно, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: особенности, Number: none, Confidence: none, Bbox: none
Text: их, Number: none, Confidence: none, Bbox: none
Text: жирами, Number: none, Confidence: none, Bbox: none
Text: питаются, Number: none, Confidence: none, Bbox: none
Text: питаются, Number: none, Confidence: none, Bbox: none
Text: листьями, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: деревьях, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: того, Number: none, Confidence: none, Bbox: none
Text: чтобы, Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
Text: циркулировала, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: всему, Number: none, Confidence: none, Bbox: none
Text: ему, Number: none, Confidence: none, Bbox: none
Text: тему, Number: none, Confidence: none, Bbox: none
Text: чтобы, Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
Text: смогла, Number: none, Confidence: none, Bbox: none
Text: бистро, Number: none, Confidence: none, Bbox: none
Text: прости, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: шел, Number: none, Confidence: none, Bbox: none
Text: необходимо, Number: none, Confidence: none, Bbox: none
Text: сильно, Number: none, Confidence: none, Bbox: none
Text: вытолкнуть, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: сердца, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: этого, Number: none, Confidence: none, Bbox: none
Text: необходимо, Number: none, Confidence: none, Bbox: none
Text: высокое, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: жирафов, Number: none, Confidence: none, Bbox: none
Text: выше, Number: none, Confidence: none, Bbox: none
Text: температура, Number: none, Confidence: none, Bbox: none
Text: тема, Number: none, Confidence: none, Bbox: none
Text: чем, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: Илиме, Number: none, Confidence: none, Bbox: none
Text: обмен, Number: none, Confidence: none, Bbox: none
Text: веществ, Number: none, Confidence: none, Bbox: none
Text: слезоватешько,, Number: none, Confidence: none, Bbox: none
Text: артериальное, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: вившее, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: жмем, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
