Text: продолжение, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: -с, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: а, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: и, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: -с, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: цент, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: безу, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: коленка, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: рефлекс, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: предислов, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: смотр, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: потреблю, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: стен, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: только, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: на, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: воз, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: цифр, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: дол, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: -с, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
Text: безусловный, Number: 22, Confidence: 0.41, Bbox: [91.68997955322266, 1.260819911956787, 2310.0, 784.4851684570312]
