Text: ответ, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: -с, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: а, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: скрещивание, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: генотипы, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: и, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: генотипы, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: родителей, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: а, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: мать, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: нет, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: гномами, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: в, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: развитии, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: кисти, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: нет, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: гипертрихоза, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: -с, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: отец, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: они, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: панамами, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: в, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: развитии, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: кисти, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: гипертрихоз, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: Генотипы, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: достаточно, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: потомства, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: дочери, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: в, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: развитии, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: кисти, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: нет, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: гипертрихоза, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: ахнет, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: хахяаномания, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: в, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: развитии, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: нет, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: гипертрихоза, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
Text: сыновья, Number: 24, Confidence: 0.31, Bbox: [0.9598484039306641, 2090.805419921875, 2261.714111328125, 2589.448486328125]
