Text: количеством, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: введения, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: препарата, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: -с, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: метод, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: световая, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: микроскопия, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: -с, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: Вирусы, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: могут, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: перестраивать, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: свою, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: прихо, Number: 22, Confidence: 0.55, Bbox: [44.397064208984375, 11.441795349121094, 2294.886962890625, 702.6458129882812]
Text: ранка, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: сваливаясь, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: к, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: условиям, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: борьбы, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: с, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: ними, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: вирусыочень, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: деется, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
Text: простое, Number: 24, Confidence: 0.36, Bbox: [40.168643951416016, 10.120213508605957, 2290.892333984375, 700.9927978515625]
