Text: В, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: первом, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: браке, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: возможно, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: рождение, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: ре, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: ребенка, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: с, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: нормальным, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: развитием, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: кисти, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: и, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: с, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: гипертрихозом, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: (хауав),, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: так, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: как, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: от, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: матери, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: ребенок, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: получает, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: гамету, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: не, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: несущую, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: хот, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: аллель, Number: 25, Confidence: 0.56, Bbox: [22.02069091796875, 21.54990577697754, 2272.27880859375, 882.052734375]
Text: аномалии, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: развития, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: кисти, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: а, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: от, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
Text: отца, Number: 24, Confidence: 0.54, Bbox: [24.911352157592773, 17.310678482055664, 2267.565185546875, 875.40771484375]
