Text: А, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: уже, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: он, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: в, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: свою, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: очередь, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: раздражает, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: слюнную, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: железу, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: которая, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: выделяет, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: слюну, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: -де, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: Так, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: как, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: жираф, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: является, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: высоким, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: животным, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: и, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: для, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: того, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: чтобы, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: кровь, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: попала, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: в, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: голову, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: сердце, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: должно, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: давать, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
Text: высокое, Number: 22, Confidence: 0.48, Bbox: [69.92295837402344, 51.576168060302734, 2299.83544921875, 1699.2523193359375]
