Text: кисти, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: здоровая, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: кисть, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: отсутствие, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: -с, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: -де, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: фенотипы, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: возможных, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: дочерей, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: а, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: аномалия, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: кисти, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: писать, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: фенотипы, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: возможных, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: сыновей, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: хауса, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: а, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: аномалия, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: пистик, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: отсутствие, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: гипертрихоза, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: заухав, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: здоровая, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: кисть, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: отсутствие, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: информационные, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: -с, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: да, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: в, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: бом, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: браке, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: возможно, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: рождение, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: ребенка, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: с, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: развитием, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: кисти, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: и, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: с, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: интерприлозом, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: бацало, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: с, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: нормальным, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: этот, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: генотип, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: образован, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: женской, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: гаметой, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: аза, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: и, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: мужской, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: жгуч, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: получ, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: обруч, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: ученная, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: кроссинговера, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: -де, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: марание, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: атакой, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: опершую, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: контроль, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: контроль, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: не, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: является, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: адекватным, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: так, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: из-за, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: добавления, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: лекарственного, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: добавления, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
Text: лекарственного, Number: 28, Confidence: 0.33, Bbox: [27.18574333190918, 0.0, 2298.74755859375, 1618.3699951171875]
