Text: 26.1., Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: наиболее, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: древние, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: жителя, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: предки, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: обитали, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: по, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: всему, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: большому, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: материну, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: до, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: раскола, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: -с, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: После, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: раскола, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: они, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: были, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: изолированы, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: в, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: и, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
Text: там, Number: 27, Confidence: 0.37, Bbox: [17.192302703857422, 10.95992660522461, 2298.045166015625, 501.28411865234375]
