Text: гг, Number: 22, Confidence: 0.42, Bbox: [60.70757293701172, 72.0634765625, 2300.04248046875, 1542.342529296875]
Text: -с, Number: 22, Confidence: 0.42, Bbox: [60.70757293701172, 72.0634765625, 2300.04248046875, 1542.342529296875]
Text: бранный, Number: 22, Confidence: 0.42, Bbox: [60.70757293701172, 72.0634765625, 2300.04248046875, 1542.342529296875]
Text: отрицательный, Number: 22, Confidence: 0.42, Bbox: [60.70757293701172, 72.0634765625, 2300.04248046875, 1542.342529296875]
Text: контроль, Number: 22, Confidence: 0.42, Bbox: [60.70757293701172, 72.0634765625, 2300.04248046875, 1542.342529296875]
Text: нельзя, Number: 22, Confidence: 0.42, Bbox: [60.70757293701172, 72.0634765625, 2300.04248046875, 1542.342529296875]
Text: считать, Number: 22, Confidence: 0.42, Bbox: [60.70757293701172, 72.0634765625, 2300.04248046875, 1542.342529296875]
Text: адекватным, Number: 22, Confidence: 0.42, Bbox: [60.70757293701172, 72.0634765625, 2300.04248046875, 1542.342529296875]
Text: того, Number: 22, Confidence: 0.42, Bbox: [60.70757293701172, 72.0634765625, 2300.04248046875, 1542.342529296875]
Text: ч, Number: 22, Confidence: 0.42, Bbox: [60.70757293701172, 72.0634765625, 2300.04248046875, 1542.342529296875]
Text: их, Number: 22, Confidence: 0.42, Bbox: [60.70757293701172, 72.0634765625, 2300.04248046875, 1542.342529296875]
Text: данные, Number: 22, Confidence: 0.42, Bbox: [60.70757293701172, 72.0634765625, 2300.04248046875, 1542.342529296875]
Text: образцы, Number: 22, Confidence: 0.42, Bbox: [60.70757293701172, 72.0634765625, 2300.04248046875, 1542.342529296875]
Text: человеческой, Number: 22, Confidence: 0.42, Bbox: [60.70757293701172, 72.0634765625, 2300.04248046875, 1542.342529296875]
Text: алеутом, Number: 22, Confidence: 0.42, Bbox: [60.70757293701172, 72.0634765625, 2300.04248046875, 1542.342529296875]
