Text: возможно, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: сульфате, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: результате, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: результате, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: кроссинговера, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: девочка, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: норм, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: р, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: кисти, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: (гимеририхоз);, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: мальчик, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: норм, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: р, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: кисшим, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: гипертрихоз, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: Вероятность, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: рождения, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: таких, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: д, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: душей, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: в, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: адом, Number: 22, Confidence: 0.64, Bbox: [5.360429763793945, 2.182290554046631, 2294.07763671875, 506.04974365234375]
Text: -де, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: Предки, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: сумчатых, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: обитали, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: в, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: Африке, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: и, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: в, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: авст, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: рамир, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: 2)т.к., Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: на, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: этих, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: материках, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: более, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: пригодные, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: у, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
Text: условия, Number: 24, Confidence: 0.32, Bbox: [0.0, 506.5998840332031, 2294.7822265625, 2105.004638671875]
