Text: 28)., Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: -с, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: А, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: мутация, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: анормальное, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: развитие, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: граж, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: (1скрётривание), Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: в, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: Петровское, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: х, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: развитие, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: -с, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: полюсу, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: рек, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: ные, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: ные, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: кроссовере, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: хаза, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: в, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: мутация, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: а, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: нет, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: интерприкоза, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: нормальное, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: развитие, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: генеририкоз, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: д, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: муниципал, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: нормальное, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: развитие, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: нет, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: интерприхоза, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: мутация, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: а, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: брак, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: -с, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: скрещивание, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: р, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: д, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: краха, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: мутация, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: нет, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: интертрикоза, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: полностью, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: -де, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: мутация, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: нет, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: артериола, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: диггеры, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: б, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: мутация, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: нет, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: приперт, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: ет, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: у, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: поле, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: полностью, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: здоров, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: Я, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: полностью, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: здоров, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: В, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: а, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: браке, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: возможно, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: рождение, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: ребенка, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: с, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: нормальной, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: кистью, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: и, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: гипертрихозом, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: так, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: нормаль, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: аллель, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: нормальной, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: кисти, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: перешел, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: от, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: матери, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: а, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: переходит, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: перешёл, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: от, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: матери,, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: а, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: гипертрихоз,, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
Text: переходит, Number: 28, Confidence: 0.99, Bbox: [9.02025318145752, 51.97532272338867, 2273.775146484375, 2590.0]
