Text: необходимо, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: не, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: добавлять, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: исследуемое, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: года, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: лекарственное, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: средство, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: к, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: зараженным, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: вирусом, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: иммунодефицита, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: дни, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: человека, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: клетку, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: -с, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: Остальные, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: параметры, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: клетки, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: ситами, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: в, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: не, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: менять, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: -с, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: Такой, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: ок, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: позв, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: позволил, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: позволит, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: уволит, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: определить, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: как, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: лекарственной, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: препарат, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: влияет, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: на, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: голово, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: во, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: вирусных, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: частиц, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: no23, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: препарате, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: на, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: дн, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: крупных, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: частиц, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: Нет, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: ТК, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: после, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: внесения, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: препарата, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: голово, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: вал, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: вирусных, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: частиц, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
Text: упаковать, Number: 24, Confidence: 0.41, Bbox: [9.237861633300781, 1410.1156005859375, 2285.103759765625, 2553.66064453125]
