Text: А, Number: 28, Confidence: 0.92, Bbox: [20.991682052612305, 344.85430908203125, 2291.9228515625, 2576.408447265625]
Text: -с, Number: 28, Confidence: 0.92, Bbox: [20.991682052612305, 344.85430908203125, 2291.9228515625, 2576.408447265625]
Text: разв, Number: 28, Confidence: 0.92, Bbox: [20.991682052612305, 344.85430908203125, 2291.9228515625, 2576.408447265625]
Text: кисти, Number: 28, Confidence: 0.92, Bbox: [20.991682052612305, 344.85430908203125, 2291.9228515625, 2576.408447265625]
Text: норма, Number: 28, Confidence: 0.92, Bbox: [20.991682052612305, 344.85430908203125, 2291.9228515625, 2576.408447265625]
Text: гипертрихоз, Number: 28, Confidence: 0.92, Bbox: [20.991682052612305, 344.85430908203125, 2291.9228515625, 2576.408447265625]
Text: женщин, Number: 28, Confidence: 0.92, Bbox: [20.991682052612305, 344.85430908203125, 2291.9228515625, 2576.408447265625]
Text: по, Number: 28, Confidence: 0.92, Bbox: [20.991682052612305, 344.85430908203125, 2291.9228515625, 2576.408447265625]
Text: ро, Number: 28, Confidence: 0.92, Bbox: [20.991682052612305, 344.85430908203125, 2291.9228515625, 2576.408447265625]
Text: ха-ха, Number: 28, Confidence: 0.92, Bbox: [20.991682052612305, 344.85430908203125, 2291.9228515625, 2576.408447265625]
Text: х, Number: 28, Confidence: 0.92, Bbox: [20.991682052612305, 344.85430908203125, 2291.9228515625, 2576.408447265625]
Text: хапун, Number: 28, Confidence: 0.92, Bbox: [20.991682052612305, 344.85430908203125, 2291.9228515625, 2576.408447265625]
Text: В, Number: 28, Confidence: 0.92, Bbox: [20.991682052612305, 344.85430908203125, 2291.9228515625, 2576.408447265625]
Text: н, Number: 28, Confidence: 0.92, Bbox: [20.991682052612305, 344.85430908203125, 2291.9228515625, 2576.408447265625]
Text: норма, Number: 28, Confidence: 0.92, Bbox: [20.991682052612305, 344.85430908203125, 2291.9228515625, 2576.408447265625]
Text: гиперстен, Number: 28, Confidence: 0.92, Bbox: [20.991682052612305, 344.85430908203125, 2291.9228515625, 2576.408447265625]
