Text: -де, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: -с, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: этот, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: экспериментальный, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: контроль, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: не, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: адекватный, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: как, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: через, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: -с, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: часов, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: после, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: введения, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: лекарства, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: оно, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: перестает, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: действовать, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: и, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: вирусные, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: мастаки, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: распространяются, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: человеческим, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: клетками, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: а, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: после, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: введения, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: из, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: и, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: сентябрь, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: оно, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: начинает, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: борется, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: вирусными, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: частицами, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: -де, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: -с, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: да, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: так, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: как, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: количество, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: вирусных, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: участку, Number: 22, Confidence: 0.79, Bbox: [33.94889450073242, 26.292861938476562, 2301.96044921875, 1022.8735961914062]
Text: в, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: человеческой, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: клетке, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: уменьшилось, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: -с, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: -с, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: Некоторые, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: вирусы, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: откладывает, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: сво, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: потомство, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: в, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: организме, Number: 24, Confidence: 0.54, Bbox: [40.7313117980957, 1038.08837890625, 2303.14501953125, 2590.0]
Text: и, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: человек, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: же, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: знает, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: как, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: из, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: избавится, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: от, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: него, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: -с, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: Некоторые, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
Text: грусть, Number: 23, Confidence: 0.31, Bbox: [58.46133804321289, 1030.81787109375, 2309.903564453125, 2589.955078125]
