Text: то, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: он, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: передается, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: и, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: сыну, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: ат, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: к, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: находится, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: в, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: хромосоме, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: -де, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: Такой, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: контроль, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: не, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: является, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: адекватным, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: так, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: как, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: состав, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: препарата, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: из, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: аптеки, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: и, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: лекарственного, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: средства, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: исследователя, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: различаются, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: поэтому, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: влияние, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: вирусные, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: частицы, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: будут, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: оказывать, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: разное, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: А, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: это, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: не, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: позволит, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: в, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: явном, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: виде, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
Text: установить, Number: 22, Confidence: 0.53, Bbox: [30.674888610839844, 68.71536254882812, 2288.13330078125, 1468.084228515625]
