Text: вирусом, Number: 22, Confidence: 0.32, Bbox: [39.418251037597656, 78.58777618408203, 2310.0, 2341.06982421875]
Text: ажно, Number: 22, Confidence: 0.32, Bbox: [39.418251037597656, 78.58777618408203, 2310.0, 2341.06982421875]
Text: торосить, Number: 22, Confidence: 0.32, Bbox: [39.418251037597656, 78.58777618408203, 2310.0, 2341.06982421875]
Text: разменным, Number: 22, Confidence: 0.32, Bbox: [39.418251037597656, 78.58777618408203, 2310.0, 2341.06982421875]
Text: в, Number: 22, Confidence: 0.32, Bbox: [39.418251037597656, 78.58777618408203, 2310.0, 2341.06982421875]
Text: допуску, Number: 22, Confidence: 0.32, Bbox: [39.418251037597656, 78.58777618408203, 2310.0, 2341.06982421875]
Text: лужен, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: является, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: персонально, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: поеный, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: подход, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: При, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: этом, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: объект, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: подвергаться, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: подве, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: кому, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: действию, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: а, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: не, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: воздуха, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: -с, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: вне, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: сеяние, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: препарата, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: не, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: будет, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: эффект, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: мн, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: мн, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: не, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: слож, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: охлажу, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: ли, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: поставленных, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
Text: результатов, Number: 25, Confidence: 0.31, Bbox: [38.41740036010742, 103.33758544921875, 2310.0, 2331.109619140625]
