Text: В, Number: none, Confidence: none, Bbox: none
Text: его, Number: none, Confidence: none, Bbox: none
Text: никотине, Number: none, Confidence: none, Bbox: none
Text: содержится, Number: none, Confidence: none, Bbox: none
Text: материнская, Number: none, Confidence: none, Bbox: none
Text: хромосома, Number: none, Confidence: none, Bbox: none
Text: апрелем, Number: none, Confidence: none, Bbox: none
Text: развития, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: ахай, Number: none, Confidence: none, Bbox: none
Text: отцовская, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: хромосома, Number: none, Confidence: none, Bbox: none
Text: образовавшееся, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: результате, Number: none, Confidence: none, Bbox: none
Text: кроссинговера, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: содержащая, Number: none, Confidence: none, Bbox: none
Text: рецессия, Number: none, Confidence: none, Bbox: none
Text: апрель, Number: none, Confidence: none, Bbox: none
Text: развития, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: апрель, Number: none, Confidence: none, Bbox: none
Text: отека, Number: none, Confidence: none, Bbox: none
Text: элементрихоза, Number: none, Confidence: none, Bbox: none
Text: (yab), Number: none, Confidence: none, Bbox: none
Text: быть, Number: none, Confidence: none, Bbox: none
Text: (aa)., Number: none, Confidence: none, Bbox: none
Text: Заболевание, Number: none, Confidence: none, Bbox: none
Text: фенилкетонурия, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: проявляется, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: гомозиготам, Number: none, Confidence: none, Bbox: none
Text: состоянии, Number: none, Confidence: none, Bbox: none
Text: ваал, Number: none, Confidence: none, Bbox: none
Text: человек, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: этого, Number: none, Confidence: none, Bbox: none
Text: заболевания, Number: none, Confidence: none, Bbox: none
Text: может, Number: none, Confidence: none, Bbox: none
Text: быть, Number: none, Confidence: none, Bbox: none
Text: гетерозиготным, Number: none, Confidence: none, Bbox: none
Text: ваал, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: (aa), Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: стрекотала, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: фенилкетонурия, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: ваал, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: 10.000;, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: никотина, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: (aa+aa)=, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: 0.000, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: 0.9999, Number: none, Confidence: none, Bbox: none
Text: кастора, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: мутантного, Number: none, Confidence: none, Bbox: none
Text: аппетит, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: (a)=50.0001, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: 0.01, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: нормального, Number: none, Confidence: none, Bbox: none
Text: апреля, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: (a)=, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: 0.01=, Number: none, Confidence: none, Bbox: none
Text: 0.99, Number: none, Confidence: none, Bbox: none
Text: ответ, Number: none, Confidence: none, Bbox: none
Text: Эволюционный, Number: none, Confidence: none, Bbox: none
Text: фактор, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: грейдер, Number: none, Confidence: none, Bbox: none
Text: генов, Number: none, Confidence: none, Bbox: none
Text: эффект, Number: none, Confidence: none, Bbox: none
Text: основателя, Number: none, Confidence: none, Bbox: none
Text: Этот, Number: none, Confidence: none, Bbox: none
Text: отрицательный, Number: none, Confidence: none, Bbox: none
Text: контроль, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: является, Number: none, Confidence: none, Bbox: none
Text: адекватны, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: получится, Number: none, Confidence: none, Bbox: none
Text: определить, Number: none, Confidence: none, Bbox: none
Text: эффективность, Number: none, Confidence: none, Bbox: none
Text: копкой, Number: none, Confidence: none, Bbox: none
Text: мере, Number: none, Confidence: none, Bbox: none
Text: действия, Number: none, Confidence: none, Bbox: none
Text: лекарственного, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: Противовирусный, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: купленный, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: аптеке, Number: none, Confidence: none, Bbox: none
Text: будет, Number: none, Confidence: none, Bbox: none
Text: воздействовать, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: другие, Number: none, Confidence: none, Bbox: none
Text: вирусы, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: качестве, Number: none, Confidence: none, Bbox: none
Text: отрицательного, Number: none, Confidence: none, Bbox: none
Text: контроля, Number: none, Confidence: none, Bbox: none
Text: экспериментатор, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: один, Number: none, Confidence: none, Bbox: none
Text: образец, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: должен, Number: none, Confidence: none, Bbox: none
Text: виснуть, Number: none, Confidence: none, Bbox: none
Text: добавлять, Number: none, Confidence: none, Bbox: none
Text: лекарственный, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: остальные, Number: none, Confidence: none, Bbox: none
Text: условия, Number: none, Confidence: none, Bbox: none
Text: нужно, Number: none, Confidence: none, Bbox: none
Text: оставить, Number: none, Confidence: none, Bbox: none
Text: измене, Number: none, Confidence: none, Bbox: none
Text: кий, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: шик, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: таблице, Number: none, Confidence: none, Bbox: none
Text: показано, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: вне, Number: none, Confidence: none, Bbox: none
Text: ксения, Number: none, Confidence: none, Bbox: none
Text: лекарственного, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: количество, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: вне, Number: none, Confidence: none, Bbox: none
Text: сения, Number: none, Confidence: none, Bbox: none
Text: лекарственного, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: количество, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
