Text: ехав, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: здоровая, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: девочка, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: носительница, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: анонимн, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: ехав, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: большой, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: мальчик, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: анналам, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: в, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: развитии, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: кисти, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: ехав, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: здоровая, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: девочка, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: но, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: носительница, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: ах, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: зов, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: у, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: больной, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: двум, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: заболеваниями, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: мальчик, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: нет, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: в, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: первое, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: нервом, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: браке, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: невозможно, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: рождение, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: мальчика, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: с, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: интертриказом,, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: так, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: родители, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: им, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: не, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: болеют, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: так, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: традиции, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: кроссинговер, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: залезли, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: не, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: травила, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: свои, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: традиции, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: красковарные, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: помяты, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: 6)верастьеть, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: рождение, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: -де, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: рождение, Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
Text: 0%., Number: 22, Confidence: 0.41, Bbox: [23.597055435180664, 20.47903060913086, 2297.510009765625, 1636.4970703125]
