Text: и, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: бланк, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: использовать, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: только, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: после, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: заполнения, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: оооб, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: генотипы, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: фенотипы, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: возможных, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: рей, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: дочерей, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: -с, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: х, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: х, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: нормальное, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: норм, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: норм, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: развитие, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: кисти, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: отсутствие, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: гипертрихоза, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: развития, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: нормальное, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
Text: кисти, Number: 28, Confidence: 0.75, Bbox: [11.109393119812012, 81.98108673095703, 2263.287353515625, 2379.361083984375]
