Text: образовываться, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: новые, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: виды, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: и, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: обмен, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: генами, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: между, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: родственником, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: между, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: родственни, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: группами, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: прекратился, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: Также, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: протекали, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: пукциния, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: закрепляясь, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: за, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: видами, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: а, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: знают, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: обмена, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: генами, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: не, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: было, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: Теория, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: дрейфа, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: континентов, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: дано, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: р, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: о, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: ехав, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: зуав, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: ох, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: зав, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: здоровая, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: агаровая, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: иметь, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: аномальная, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: писать, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: здоровые, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: кисть, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: гипертрихоз, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: увянув, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: гипертрихоз, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: кое-, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: здоровые, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: некрассоверные, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: некрасоведение, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: кроссовере, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: р, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: х, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: от, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: халва, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: в, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: Первый, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: случай, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: кисть, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: здоровые, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: уши, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: Здоровая, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: шесть, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: здоровые, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: уши, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
Text: -с, Number: 28, Confidence: 0.34, Bbox: [31.913354873657227, 94.1844482421875, 2305.900390625, 2060.691650390625]
