Text: босс, Number: none, Confidence: none, Bbox: none
Text: бланки, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: контрольные, Number: none, Confidence: none, Bbox: none
Text: измерительные, Number: none, Confidence: none, Bbox: none
Text: материалы, Number: none, Confidence: none, Bbox: none
Text: рассматриваются, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: комплекте, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: дано, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: решение, Number: none, Confidence: none, Bbox: none
Text: а-анамашия, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: абр, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: зав, Number: none, Confidence: none, Bbox: none
Text: хаза, Number: none, Confidence: none, Bbox: none
Text: норм, Number: none, Confidence: none, Bbox: none
Text: кисть, Number: none, Confidence: none, Bbox: none
Text: анимация, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: отс, Number: none, Confidence: none, Bbox: none
Text: гиперизм, Number: none, Confidence: none, Bbox: none
Text: анормальная, Number: none, Confidence: none, Bbox: none
Text: гипертрихозом, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: отсутствие, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: пол, Number: none, Confidence: none, Bbox: none
Text: о, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: м, Number: none, Confidence: none, Bbox: none
Text: пол, Number: none, Confidence: none, Bbox: none
Text: р-н, Number: none, Confidence: none, Bbox: none
Text: а-ля, Number: none, Confidence: none, Bbox: none
Text: р-н, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: Генотипа, Number: none, Confidence: none, Bbox: none
Text: ее, Number: none, Confidence: none, Bbox: none
Text: фенотипа, Number: none, Confidence: none, Bbox: none
Text: возможных, Number: none, Confidence: none, Bbox: none
Text: дочерей, Number: none, Confidence: none, Bbox: none
Text: ехав, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: кормя, Number: none, Confidence: none, Bbox: none
Text: кисть, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: зав, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: панамами, Number: none, Confidence: none, Bbox: none
Text: листик, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: генотипа, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: возможных, Number: none, Confidence: none, Bbox: none
Text: сыновей, Number: none, Confidence: none, Bbox: none
Text: кав, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: аналитик, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: отсе, Number: none, Confidence: none, Bbox: none
Text: гиперизм, Number: none, Confidence: none, Bbox: none
Text: зав, Number: none, Confidence: none, Bbox: none
Text: да, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: кисть, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: отсе, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: р, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: знамя, Number: none, Confidence: none, Bbox: none
Text: шпертрих-, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: зову, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: кисть, Number: none, Confidence: none, Bbox: none
Text: отстае, Number: none, Confidence: none, Bbox: none
Text: гипноза, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: ехав, Number: none, Confidence: none, Bbox: none
Text: ехав, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: ал, Number: none, Confidence: none, Bbox: none
Text: Возможные, Number: none, Confidence: none, Bbox: none
Text: генотипы, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: фенотипа, Number: none, Confidence: none, Bbox: none
Text: дочерей, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: до, Number: none, Confidence: none, Bbox: none
Text: забодав, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: норм, Number: none, Confidence: none, Bbox: none
Text: кисть, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: отстае, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: ехав, Number: none, Confidence: none, Bbox: none
Text: ехав, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: панамами, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: панамами, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: отстае, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: кисть, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: Возможные, Number: none, Confidence: none, Bbox: none
Text: генотипы, Number: none, Confidence: none, Bbox: none
Text: фенотипа, Number: none, Confidence: none, Bbox: none
Text: ленивей, Number: none, Confidence: none, Bbox: none
Text: воданорм-я, Number: none, Confidence: none, Bbox: none
Text: кисть, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: отстае, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: хар, Number: none, Confidence: none, Bbox: none
Text: ца, Number: none, Confidence: none, Bbox: none
Text: да, Number: none, Confidence: none, Bbox: none
Text: гамаши, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: ца, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: отсе, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: уа, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: кормя, Number: none, Confidence: none, Bbox: none
Text: кисть, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: да, Number: none, Confidence: none, Bbox: none
Text: возможно, Number: none, Confidence: none, Bbox: none
Text: Нормальное, Number: none, Confidence: none, Bbox: none
Text: развитие, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: ребенок, Number: none, Confidence: none, Bbox: none
Text: завидует, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: машете, Number: none, Confidence: none, Bbox: none
Text: здоровую, Number: none, Confidence: none, Bbox: none
Text: хр, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз:, Number: none, Confidence: none, Bbox: none
Text: 3), Number: none, Confidence: none, Bbox: none
Text: Да,, Number: none, Confidence: none, Bbox: none
Text: возможно., Number: none, Confidence: none, Bbox: none
Text: Здоров, Number: none, Confidence: none, Bbox: none
Text: Нормальное, Number: none, Confidence: none, Bbox: none
Text: развитие, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: ребенок, Number: none, Confidence: none, Bbox: none
Text: навидует, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: машее,, Number: none, Confidence: none, Bbox: none
Text: несущая, Number: none, Confidence: none, Bbox: none
Text: здоровую, Number: none, Confidence: none, Bbox: none
Text: хр,, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
