Text: екате, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: 122., Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: -с, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: Отрицательный, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: контроль, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: не, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: является, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: адекватен, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: ным, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: так, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: как, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: противовирусный, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: аппарат, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: также, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: может, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: влиять, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: на, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: количество, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: вирусных, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: частиц, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: в, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: образце, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: вотр, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: контроль, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: -с, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: опыт, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: когда, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: изучаемый, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: объект, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
Text: не, Number: 25, Confidence: 0.35, Bbox: [33.34275436401367, 734.6358032226562, 2300.89404296875, 2590.0]
