Text: геннеразгромой, Number: none, Confidence: none, Bbox: none
Text: ваал, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: засечка, Number: none, Confidence: none, Bbox: none
Text: встречаемость, Number: none, Confidence: none, Bbox: none
Text: женатика, Number: none, Confidence: none, Bbox: none
Text: ажан, Number: none, Confidence: none, Bbox: none
Text: обновляет, Number: none, Confidence: none, Bbox: none
Text: вскурсчасамости, Number: none, Confidence: none, Bbox: none
Text: аллея, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: доминошного, Number: none, Confidence: none, Bbox: none
Text: аллелям, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: маршала, Number: none, Confidence: none, Bbox: none
Text: встречаемость, Number: none, Confidence: none, Bbox: none
Text: деникина, Number: none, Confidence: none, Bbox: none
Text: Частота, Number: none, Confidence: none, Bbox: none
Text: встречаемость, Number: none, Confidence: none, Bbox: none
Text: орехами, Number: none, Confidence: none, Bbox: none
Text: ваал, Number: none, Confidence: none, Bbox: none
Text: 0,99, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: 001=, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: дублер, Number: none, Confidence: none, Bbox: none
Text: нашло, Number: none, Confidence: none, Bbox: none
Text: ап, Number: none, Confidence: none, Bbox: none
Text: Задачей, Number: none, Confidence: none, Bbox: none
Text: основан, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Контроль, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: является, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: солешки, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: должны, Number: none, Confidence: none, Bbox: none
Text: поласкаться, Number: none, Confidence: none, Bbox: none
Text: производиться, Number: none, Confidence: none, Bbox: none
Text: препарату, Number: none, Confidence: none, Bbox: none
Text: необходимо, Number: none, Confidence: none, Bbox: none
Text: исключа, Number: none, Confidence: none, Bbox: none
Text: назидательный, Number: none, Confidence: none, Bbox: none
Text: контроль, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: звердихеиных, Number: none, Confidence: none, Bbox: none
Text: поминки, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: добавляем, Number: none, Confidence: none, Bbox: none
Text: лекарственный, Number: none, Confidence: none, Bbox: none
Text: все, Number: none, Confidence: none, Bbox: none
Text: остальные, Number: none, Confidence: none, Bbox: none
Text: параметры, Number: none, Confidence: none, Bbox: none
Text: встающее, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: неизменными, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Препарату, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: разрушаем, Number: none, Confidence: none, Bbox: none
Text: вирусные, Number: none, Confidence: none, Bbox: none
Text: частицы, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: тургене, Number: none, Confidence: none, Bbox: none
Text: насти, Number: none, Confidence: none, Bbox: none
Text: счасти, Number: none, Confidence: none, Bbox: none
Text: через, Number: none, Confidence: none, Bbox: none
Text: каждые, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: часа, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: применения, Number: none, Confidence: none, Bbox: none
