Text: Для, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: -с, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: Такой, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: отрицательный, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: контроль, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: не, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: является, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: адекватным, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: потому, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: что, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: клетки, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: подвергаются, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: экспериментальному, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: воздействию, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: так, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: как, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: вводится, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: противовирусный, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: аппарат, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: -с, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: Не, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: вводить, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: в, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: клетки, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: человека, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: а, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: лекарственное, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: средство, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: -с, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: Все, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: остальные, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
Text: параметры, Number: 22, Confidence: 0.89, Bbox: [25.639759063720703, 24.42401695251465, 2305.615234375, 1029.556884765625]
