Text: no24, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: На, Number: none, Confidence: none, Bbox: none
Text: рисунке, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: безус, Number: none, Confidence: none, Bbox: none
Text: безусловный, Number: none, Confidence: none, Bbox: none
Text: неделек, Number: none, Confidence: none, Bbox: none
Text: отсутствует, Number: none, Confidence: none, Bbox: none
Text: выход, Number: none, Confidence: none, Bbox: none
Text: безусловный, Number: none, Confidence: none, Bbox: none
Text: результат, Number: none, Confidence: none, Bbox: none
Text: Центр, Number: none, Confidence: none, Bbox: none
Text: рефлекторного, Number: none, Confidence: none, Bbox: none
Text: слюноотделения, Number: none, Confidence: none, Bbox: none
Text: находится, Number: none, Confidence: none, Bbox: none
Text: стволе, Number: none, Confidence: none, Bbox: none
Text: головного, Number: none, Confidence: none, Bbox: none
Text: мозга, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Испании, Number: none, Confidence: none, Bbox: none
Text: ск, Number: none, Confidence: none, Bbox: none
Text: вырабатывается, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: венский, Number: none, Confidence: none, Bbox: none
Text: жизни, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: может, Number: none, Confidence: none, Bbox: none
Text: открыть, Number: none, Confidence: none, Bbox: none
Text: (числяднуть),, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: подключения, Number: none, Confidence: none, Bbox: none
Text: безуслов, Number: none, Confidence: none, Bbox: none
Text: ный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: условный, Number: none, Confidence: none, Bbox: none
Text: возбудителя, Number: none, Confidence: none, Bbox: none
Text: (лашпочка);, Number: none, Confidence: none, Bbox: none
Text: 4.2), Number: none, Confidence: none, Bbox: none
Text: зрительный, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: анализатор, Number: none, Confidence: none, Bbox: none
Text: сетчатка, Number: none, Confidence: none, Bbox: none
Text: глаза, Number: none, Confidence: none, Bbox: none
Text: 4.3), Number: none, Confidence: none, Bbox: none
Text: чувствительный, Number: none, Confidence: none, Bbox: none
Text: нейрон, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: зрительный, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: пере, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: Подкорковое, Number: none, Confidence: none, Bbox: none
Text: образование, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: 4.4), Number: none, Confidence: none, Bbox: none
Text: спаивай, Number: none, Confidence: none, Bbox: none
Text: мозг, Number: none, Confidence: none, Bbox: none
Text: 4.6), Number: none, Confidence: none, Bbox: none
Text: Образование, Number: none, Confidence: none, Bbox: none
Text: временной, Number: none, Confidence: none, Bbox: none
Text: связи, Number: none, Confidence: none, Bbox: none
Text: между, Number: none, Confidence: none, Bbox: none
Text: центрами, Number: none, Confidence: none, Bbox: none
Text: сможет, Number: none, Confidence: none, Bbox: none
Text: деления, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: зрительным, Number: none, Confidence: none, Bbox: none
Text: центром, Number: none, Confidence: none, Bbox: none
Text: рублен, Number: none, Confidence: none, Bbox: none
Text: сохраняется, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: денежки, Number: none, Confidence: none, Bbox: none
Text: ж, Number: none, Confidence: none, Bbox: none
Text: изго, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: жизни, Number: none, Confidence: none, Bbox: none
Text: врожденным, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: ампулою, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: двигательному, Number: none, Confidence: none, Bbox: none
Text: нейрону, Number: none, Confidence: none, Bbox: none
Text: до, Number: none, Confidence: none, Bbox: none
Text: смоквой, Number: none, Confidence: none, Bbox: none
Text: жел, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: зы, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: выражение, Number: none, Confidence: none, Bbox: none
Text: слюны, Number: none, Confidence: none, Bbox: none
Text: no25, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: жирафы, Number: none, Confidence: none, Bbox: none
Text: больше, Number: none, Confidence: none, Bbox: none
Text: объем, Number: none, Confidence: none, Bbox: none
Text: тела, Number: none, Confidence: none, Bbox: none
Text: чем, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: посещения, Number: none, Confidence: none, Bbox: none
Text: организма, Number: none, Confidence: none, Bbox: none
Text: кислородом, Number: none, Confidence: none, Bbox: none
Text: требуется, Number: none, Confidence: none, Bbox: none
Text: больший, Number: none, Confidence: none, Bbox: none
Text: объем, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: чтоб, Number: none, Confidence: none, Bbox: none
Text: пронаблюдать, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: сосудах, Number: none, Confidence: none, Bbox: none
Text: большой, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: нужно, Number: none, Confidence: none, Bbox: none
Text: высокое, Number: none, Confidence: none, Bbox: none
Text: артериальное, Number: none, Confidence: none, Bbox: none
Text: наруже, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: жирафов, Number: none, Confidence: none, Bbox: none
Text: более, Number: none, Confidence: none, Bbox: none
Text: длинная, Number: none, Confidence: none, Bbox: none
Text: щемя, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: насыщения, Number: none, Confidence: none, Bbox: none
Text: мозга, Number: none, Confidence: none, Bbox: none
Text: кислородом, Number: none, Confidence: none, Bbox: none
Text: видели, Number: none, Confidence: none, Bbox: none
Text: до, Number: none, Confidence: none, Bbox: none
Text: нельзя, Number: none, Confidence: none, Bbox: none
Text: бровь, Number: none, Confidence: none, Bbox: none
Text: должна, Number: none, Confidence: none, Bbox: none
Text: пройти, Number: none, Confidence: none, Bbox: none
Text: большое, Number: none, Confidence: none, Bbox: none
Text: поэтому, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: синих, Number: none, Confidence: none, Bbox: none
Text: поэтому, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: силних, Number: none, Confidence: none, Bbox: none
