Text: внимание, Number: none, Confidence: none, Bbox: none
Text: Данный, Number: none, Confidence: none, Bbox: none
Text: бланк, Number: none, Confidence: none, Bbox: none
Text: использовать, Number: none, Confidence: none, Bbox: none
Text: только, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: заполнения, Number: none, Confidence: none, Bbox: none
Text: бланка, Number: none, Confidence: none, Bbox: none
Text: ответов, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: лист, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: реакция, Number: none, Confidence: none, Bbox: none
Text: организма, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: иа, Number: none, Confidence: none, Bbox: none
Text: кисшие, Number: none, Confidence: none, Bbox: none
Text: раздражение, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: участии, Number: none, Confidence: none, Bbox: none
Text: первой, Number: none, Confidence: none, Bbox: none
Text: системы, Number: none, Confidence: none, Bbox: none
Text: происходит, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: пределах, Number: none, Confidence: none, Bbox: none
Text: реликтов, Number: none, Confidence: none, Bbox: none
Text: торной, Number: none, Confidence: none, Bbox: none
Text: дуги, Number: none, Confidence: none, Bbox: none
Text: тора, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: инстликтэто, Number: none, Confidence: none, Bbox: none
Text: форма, Number: none, Confidence: none, Bbox: none
Text: подуешь, Number: none, Confidence: none, Bbox: none
Text: которая, Number: none, Confidence: none, Bbox: none
Text: происходит, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: приделами, Number: none, Confidence: none, Bbox: none
Text: рефлекторной, Number: none, Confidence: none, Bbox: none
Text: дуги, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Происходит, Number: none, Confidence: none, Bbox: none
Text: разреш, Number: none, Confidence: none, Bbox: none
Text: другие, Number: none, Confidence: none, Bbox: none
Text: лиши, Number: none, Confidence: none, Bbox: none
Text: рецепторов, Number: none, Confidence: none, Bbox: none
Text: условным, Number: none, Confidence: none, Bbox: none
Text: раздражителем, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: даром, Number: none, Confidence: none, Bbox: none
Text: случае, Number: none, Confidence: none, Bbox: none
Text: затишной, Number: none, Confidence: none, Bbox: none
Text: лампой, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: брусочный, Number: none, Confidence: none, Bbox: none
Text: лисиной, Number: none, Confidence: none, Bbox: none
Text: корма, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Происходит, Number: none, Confidence: none, Bbox: none
Text: преобразование, Number: none, Confidence: none, Bbox: none
Text: первично, Number: none, Confidence: none, Bbox: none
Text: импульса, Number: none, Confidence: none, Bbox: none
Text: который, Number: none, Confidence: none, Bbox: none
Text: джигите, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: чувствительному, Number: none, Confidence: none, Bbox: none
Text: широкую, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: сорв, Number: none, Confidence: none, Bbox: none
Text: головной, Number: none, Confidence: none, Bbox: none
Text: клозет, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: центральном, Number: none, Confidence: none, Bbox: none
Text: отделе, Number: none, Confidence: none, Bbox: none
Text: происходит, Number: none, Confidence: none, Bbox: none
Text: образование, Number: none, Confidence: none, Bbox: none
Text: временной, Number: none, Confidence: none, Bbox: none
Text: связи, Number: none, Confidence: none, Bbox: none
Text: лунц, Number: none, Confidence: none, Bbox: none
Text: центрами, Number: none, Confidence: none, Bbox: none
Text: воспринимающих, Number: none, Confidence: none, Bbox: none
Text: световые, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: планиду, Number: none, Confidence: none, Bbox: none
Text: центрами, Number: none, Confidence: none, Bbox: none
Text: отбегающими, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: смолоотделим, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: происходит, Number: none, Confidence: none, Bbox: none
Text: передава, Number: none, Confidence: none, Bbox: none
Text: сигнала, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: стра, Number: none, Confidence: none, Bbox: none
Text: сновидения, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: рабочему, Number: none, Confidence: none, Bbox: none
Text: рогачу, Number: none, Confidence: none, Bbox: none
Text: сгонкой, Number: none, Confidence: none, Bbox: none
Text: безе, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: двигательному, Number: none, Confidence: none, Bbox: none
Text: му, Number: none, Confidence: none, Bbox: none
Text: искрошу, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Происходит, Number: none, Confidence: none, Bbox: none
Text: выработка, Number: none, Confidence: none, Bbox: none
Text: многие, Number: none, Confidence: none, Bbox: none
Text: собаки, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: При, Number: none, Confidence: none, Bbox: none
Text: завещателей, Number: none, Confidence: none, Bbox: none
Text: каппы, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: миски, Number: none, Confidence: none, Bbox: none
Text: корма, Number: none, Confidence: none, Bbox: none
Text: собака, Number: none, Confidence: none, Bbox: none
Text: воспринимает, Number: none, Confidence: none, Bbox: none
Text: свет, Number: none, Confidence: none, Bbox: none
Text: преобразует, Number: none, Confidence: none, Bbox: none
Text: сигнал, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: грубей, Number: none, Confidence: none, Bbox: none
Text: импульс, Number: none, Confidence: none, Bbox: none
Text: году, Number: none, Confidence: none, Bbox: none
Text: который, Number: none, Confidence: none, Bbox: none
Text: центральный, Number: none, Confidence: none, Bbox: none
Text: отдел, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: За, Number: none, Confidence: none, Bbox: none
Text: очень, Number: none, Confidence: none, Bbox: none
Text: образование, Number: none, Confidence: none, Bbox: none
