Text: которые, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: жили, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: в, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: Южной, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: америке, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: -с, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: Биографическую, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: закономерность, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: можно, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: побалив, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: потому, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: что, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: существующий, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: сейчас, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: животное, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: произошло, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: от, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: предка, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: со, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: своими, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: дальними, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: предками, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: -де, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: Теория, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: филогенеза, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: что, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: предки, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: современного, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: -с, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: закономерность, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: можно, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: наблюдать, Number: 28, Confidence: 0.35, Bbox: [0.0, 17.64653968811035, 2301.892578125, 2350.056396484375]
Text: потому, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: что, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: сейчас, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: животн, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: энного, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: имели, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: общ, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: бей, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: план, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: строениях, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: no28), Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: -с, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: а, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: скрещивание, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: аба, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: нормальное, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: развитие, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: без, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.38, Bbox: [0.3230781555175781, 723.37548828125, 2299.51513671875, 2590.0]
