Text: габа, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: Жираф, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: крупное, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: животное, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: и, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: имеет, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: больш, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: обдума, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: крови, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: а, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: соответственно, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: у, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: него, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: больше, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: круги, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: кровообращения, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: Соедини, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: тельная, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: ткань, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: имеет, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: большую, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: плотность, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: так, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: как, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: жираф, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: под, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: вершин, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: воздействию, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: хищников, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: и, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: особи, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: с, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: большей, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: плотность, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: остью, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: соединительной, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: ткани, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: выживали, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: в, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
Text: результате, Number: 22, Confidence: 0.44, Bbox: [29.346759796142578, 8.658272743225098, 2294.029296875, 1362.4959716796875]
