Text: г, Number: none, Confidence: none, Bbox: none
Text: Центр, Number: none, Confidence: none, Bbox: none
Text: безусловного, Number: none, Confidence: none, Bbox: none
Text: слюноотделительного, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
Text: мозгу, Number: none, Confidence: none, Bbox: none
Text: расположен, Number: none, Confidence: none, Bbox: none
Text: продолговатом, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Институт, Number: none, Confidence: none, Bbox: none
Text: это, Number: none, Confidence: none, Bbox: none
Text: цепочка, Number: none, Confidence: none, Bbox: none
Text: безусловных, Number: none, Confidence: none, Bbox: none
Text: рефлексов, Number: none, Confidence: none, Bbox: none
Text: состоит, Number: none, Confidence: none, Bbox: none
Text: нескольких, Number: none, Confidence: none, Bbox: none
Text: безусловных, Number: none, Confidence: none, Bbox: none
Text: рефлексов, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: д, Number: none, Confidence: none, Bbox: none
Text: безразличный, Number: none, Confidence: none, Bbox: none
Text: раздражитель, Number: none, Confidence: none, Bbox: none
Text: освет, Number: none, Confidence: none, Bbox: none
Text: лампы, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: которого, Number: none, Confidence: none, Bbox: none
Text: подается, Number: none, Confidence: none, Bbox: none
Text: еда, Number: none, Confidence: none, Bbox: none
Text: безусловных, Number: none, Confidence: none, Bbox: none
Text: раздражителя, Number: none, Confidence: none, Bbox: none
Text: становится, Number: none, Confidence: none, Bbox: none
Text: небезразличнымусловным, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: образуется, Number: none, Confidence: none, Bbox: none
Text: временная, Number: none, Confidence: none, Bbox: none
Text: связь, Number: none, Confidence: none, Bbox: none
Text: между, Number: none, Confidence: none, Bbox: none
Text: центром, Number: none, Confidence: none, Bbox: none
Text: условного, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: заболонная, Number: none, Confidence: none, Bbox: none
Text: доля, Number: none, Confidence: none, Bbox: none
Text: коры, Number: none, Confidence: none, Bbox: none
Text: больших, Number: none, Confidence: none, Bbox: none
Text: полушарий, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: центром, Number: none, Confidence: none, Bbox: none
Text: безусловного, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
Text: продолговатым, Number: none, Confidence: none, Bbox: none
Text: мозгом, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: При, Number: none, Confidence: none, Bbox: none
Text: включении, Number: none, Confidence: none, Bbox: none
Text: лампы, Number: none, Confidence: none, Bbox: none
Text: условный, Number: none, Confidence: none, Bbox: none
Text: раздражение, Number: none, Confidence: none, Bbox: none
Text: активизируется, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: условного, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
