Text: примани, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: Данный, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: бланк, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: использовать, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: только, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: после, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: заполнения, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: обоих, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: листов, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: основного, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: бланка, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: ответов, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: -с, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: а, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: генотипы, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: возможных, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: дочерей, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: -с, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: Я, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: хаза, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: духана, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: норм, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: развитие, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: кисти, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: гипертрихоза, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: нет, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: гномами, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: развития, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: кисти, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: гипертрихоза, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: нет, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: биотипы, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: возможных, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: сыновей, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: от, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: хау, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: норм, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: развития, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: кисти, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: гипертрихоза, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: нет, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: А, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: харч, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: а, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: ломами, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: развитие, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: кисти, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: гипертрихоза, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: нет, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: да, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: рождение, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: ребенка, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: с, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: нормальным, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: развитием, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: кисти, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: и, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: гипертрихозом, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: возможно, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: еха, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: нав, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: -с, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: (x-),, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: не, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: кроссверкую,, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: ему, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: ну, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: передает, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: продает, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: мать, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: а, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: кроссворду, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: у-хрогода, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: из, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: где, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: ему, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: не, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: передает, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: отец, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: Задание, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: -с, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: вепри, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: длительном, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: повышение, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: артериального, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: давления, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: так, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
Text: хорошо, Number: 22, Confidence: 0.55, Bbox: [13.22199821472168, 45.81781768798828, 2253.120849609375, 1340.550048828125]
