Text: no22, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Противовирусный, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: ослабляет, Number: none, Confidence: none, Bbox: none
Text: деятельность, Number: none, Confidence: none, Bbox: none
Text: винов, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: следовательно, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: добавлении, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: результат, Number: none, Confidence: none, Bbox: none
Text: эксперимента, Number: none, Confidence: none, Bbox: none
Text: станет, Number: none, Confidence: none, Bbox: none
Text: бетонным, Number: none, Confidence: none, Bbox: none
Text: Так, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: вирусы, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: будут, Number: none, Confidence: none, Bbox: none
Text: подвергаться, Number: none, Confidence: none, Bbox: none
Text: воздействию, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: отрицательном, Number: none, Confidence: none, Bbox: none
Text: контроле, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Создать, Number: none, Confidence: none, Bbox: none
Text: контрольную, Number: none, Confidence: none, Bbox: none
Text: группу, Number: none, Confidence: none, Bbox: none
Text: клеток, Number: none, Confidence: none, Bbox: none
Text: зараженных, Number: none, Confidence: none, Bbox: none
Text: вирусами, Number: none, Confidence: none, Bbox: none
Text: но, Number: none, Confidence: none, Bbox: none
Text: ничего, Number: none, Confidence: none, Bbox: none
Text: туда, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: добавлять, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: Оставить, Number: none, Confidence: none, Bbox: none
Text: изменений, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Остальные, Number: none, Confidence: none, Bbox: none
Text: параметры, Number: none, Confidence: none, Bbox: none
Text: no23., Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: да, Number: none, Confidence: none, Bbox: none
Text: нотное, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Тан, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: некоторые, Number: none, Confidence: none, Bbox: none
Text: дни, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: увидеть, Number: none, Confidence: none, Bbox: none
Text: уменьшение, Number: none, Confidence: none, Bbox: none
Text: политеса, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Электронная, Number: none, Confidence: none, Bbox: none
Text: микроскопия, Number: none, Confidence: none, Bbox: none
Text: no24., Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: слюноотделение, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: отсутствие, Number: none, Confidence: none, Bbox: none
Text: безразличного, Number: none, Confidence: none, Bbox: none
Text: раздражителя, Number: none, Confidence: none, Bbox: none
Text: изображены, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: рисунке, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Продолговатый, Number: none, Confidence: none, Bbox: none
Text: мозг, Number: none, Confidence: none, Bbox: none
Text: безусловных, Number: none, Confidence: none, Bbox: none
Text: рефлексов, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: ветеринар, Number: none, Confidence: none, Bbox: none
Text: инстинктсовокупность, Number: none, Confidence: none, Bbox: none
Text: лист, Number: none, Confidence: none, Bbox: none
Text: п, Number: none, Confidence: none, Bbox: none
Text: лист, Number: none, Confidence: none, Bbox: none
Text: п.2., Number: none, Confidence: none, Bbox: none
