Text: рефлекса, Number: 24, Confidence: 0.43, Bbox: [0.0, 2232.85498046875, 2264.14697265625, 2589.31201171875]
Text: расположен, Number: 24, Confidence: 0.43, Bbox: [0.0, 2232.85498046875, 2264.14697265625, 2589.31201171875]
Text: в, Number: 24, Confidence: 0.43, Bbox: [0.0, 2232.85498046875, 2264.14697265625, 2589.31201171875]
Text: коре, Number: 24, Confidence: 0.43, Bbox: [0.0, 2232.85498046875, 2264.14697265625, 2589.31201171875]
Text: больших, Number: 24, Confidence: 0.43, Bbox: [0.0, 2232.85498046875, 2264.14697265625, 2589.31201171875]
Text: полушарий, Number: 24, Confidence: 0.43, Bbox: [0.0, 2232.85498046875, 2264.14697265625, 2589.31201171875]
Text: -с, Number: 24, Confidence: 0.43, Bbox: [0.0, 2232.85498046875, 2264.14697265625, 2589.31201171875]
Text: Безусловный, Number: 24, Confidence: 0.43, Bbox: [0.0, 2232.85498046875, 2264.14697265625, 2589.31201171875]
Text: ребр, Number: 24, Confidence: 0.43, Bbox: [0.0, 2232.85498046875, 2264.14697265625, 2589.31201171875]
Text: рефлекс, Number: 24, Confidence: 0.43, Bbox: [0.0, 2232.85498046875, 2264.14697265625, 2589.31201171875]
Text: врожденный, Number: 24, Confidence: 0.43, Bbox: [0.0, 2232.85498046875, 2264.14697265625, 2589.31201171875]
Text: и, Number: 24, Confidence: 0.43, Bbox: [0.0, 2232.85498046875, 2264.14697265625, 2589.31201171875]
Text: посредственный, Number: 24, Confidence: 0.43, Bbox: [0.0, 2232.85498046875, 2264.14697265625, 2589.31201171875]
Text: Инстинкт, Number: 22, Confidence: 0.31, Bbox: [0.0, 257.5273742675781, 2279.978515625, 1665.4041748046875]
Text: а, Number: 22, Confidence: 0.31, Bbox: [0.0, 257.5273742675781, 2279.978515625, 1665.4041748046875]
Text: приобретенный, Number: 22, Confidence: 0.31, Bbox: [0.0, 257.5273742675781, 2279.978515625, 1665.4041748046875]
Text: и, Number: 22, Confidence: 0.31, Bbox: [0.0, 257.5273742675781, 2279.978515625, 1665.4041748046875]
Text: ненаследственный, Number: 22, Confidence: 0.31, Bbox: [0.0, 257.5273742675781, 2279.978515625, 1665.4041748046875]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [0.0, 257.5273742675781, 2279.978515625, 1665.4041748046875]
Text: Элементы, Number: 22, Confidence: 0.31, Bbox: [0.0, 257.5273742675781, 2279.978515625, 1665.4041748046875]
Text: рефлекторной, Number: 22, Confidence: 0.31, Bbox: [0.0, 257.5273742675781, 2279.978515625, 1665.4041748046875]
