Text: включает, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: в, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: себя, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: комплекс, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: безусловным, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: рефлексов, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: Включенная, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: лампочка, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: в, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: месте, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: корешки, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: собака, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: видит, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: включенную, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: лампочку, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: слезоотделение, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: у, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: собаки, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
Text: no25, Number: 22, Confidence: 0.40, Bbox: [35.476600646972656, 1.3095718622207642, 2279.601318359375, 432.05975341796875]
