Text: Продолжение, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: no28, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: Жаном, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: разв, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: кисти, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: гипертрихоз, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: норм, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: кисть, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: гипертрихоз, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: арабу, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: -с, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: аномии, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: разв, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: кисти, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: в, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: гипертрихоз, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: кис, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: -с, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: а, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: -де, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: -де, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: -с, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: аномии, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: разв, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: кис, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: без, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: гипертрихоз, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: а, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: норм, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: кисть, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: без, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: гипертрихоз, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: о, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: У, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: корм, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: кисть, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: без, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
Text: гипертрихоза, Number: 28, Confidence: 0.70, Bbox: [11.762218475341797, 11.968835830688477, 2302.6728515625, 1337.4666748046875]
