Text: разрушает, Number: 22, Confidence: 0.38, Bbox: [80.4719009399414, 23.78070068359375, 2271.513427734375, 396.64666748046875]
Text: вирусные, Number: 22, Confidence: 0.38, Bbox: [80.4719009399414, 23.78070068359375, 2271.513427734375, 396.64666748046875]
Text: частицы, Number: 22, Confidence: 0.38, Bbox: [80.4719009399414, 23.78070068359375, 2271.513427734375, 396.64666748046875]
Text: По, Number: 22, Confidence: 0.38, Bbox: [80.4719009399414, 23.78070068359375, 2271.513427734375, 396.64666748046875]
Text: таблице, Number: 22, Confidence: 0.38, Bbox: [80.4719009399414, 23.78070068359375, 2271.513427734375, 396.64666748046875]
Text: мы, Number: 22, Confidence: 0.38, Bbox: [80.4719009399414, 23.78070068359375, 2271.513427734375, 396.64666748046875]
Text: видим, Number: 22, Confidence: 0.38, Bbox: [80.4719009399414, 23.78070068359375, 2271.513427734375, 396.64666748046875]
Text: что, Number: 22, Confidence: 0.38, Bbox: [80.4719009399414, 23.78070068359375, 2271.513427734375, 396.64666748046875]
Text: после, Number: 22, Confidence: 0.38, Bbox: [80.4719009399414, 23.78070068359375, 2271.513427734375, 396.64666748046875]
Text: внесения, Number: 22, Confidence: 0.38, Bbox: [80.4719009399414, 23.78070068359375, 2271.513427734375, 396.64666748046875]
Text: препарата, Number: 22, Confidence: 0.38, Bbox: [80.4719009399414, 23.78070068359375, 2271.513427734375, 396.64666748046875]
Text: количество, Number: 22, Confidence: 0.38, Bbox: [80.4719009399414, 23.78070068359375, 2271.513427734375, 396.64666748046875]
Text: вирусных, Number: 22, Confidence: 0.38, Bbox: [80.4719009399414, 23.78070068359375, 2271.513427734375, 396.64666748046875]
Text: частиц, Number: 22, Confidence: 0.38, Bbox: [80.4719009399414, 23.78070068359375, 2271.513427734375, 396.64666748046875]
Text: сначала, Number: 22, Confidence: 0.38, Bbox: [80.4719009399414, 23.78070068359375, 2271.513427734375, 396.64666748046875]
