Text: арии, Number: none, Confidence: none, Bbox: none
Text: появились, Number: none, Confidence: none, Bbox: none
Text: плацентарные, Number: none, Confidence: none, Bbox: none
Text: млекопитающие, Number: none, Confidence: none, Bbox: none
Text: кол, Number: none, Confidence: none, Bbox: none
Text: впоследствии, Number: none, Confidence: none, Bbox: none
Text: вытесанными, Number: none, Confidence: none, Bbox: none
Text: отсюда, Number: none, Confidence: none, Bbox: none
Text: сумчатых, Number: none, Confidence: none, Bbox: none
Text: Поэтому, Number: none, Confidence: none, Bbox: none
Text: сумчатых, Number: none, Confidence: none, Bbox: none
Text: млекопитающих, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: встретить, Number: none, Confidence: none, Bbox: none
Text: лишь, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: определенных, Number: none, Confidence: none, Bbox: none
Text: территориях, Number: none, Confidence: none, Bbox: none
Text: Геологическая, Number: none, Confidence: none, Bbox: none
Text: теорияпангейская, Number: none, Confidence: none, Bbox: none
Text: Геологическая, Number: none, Confidence: none, Bbox: none
Text: теория-, Number: none, Confidence: none, Bbox: none
Text: пангейская, Number: none, Confidence: none, Bbox: none
