Text: no28., Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: дома, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: аденомами, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: развитии, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: ак, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: анормальное, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: развитие, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: бикс, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: без, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: баг, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: гипс, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: р, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: за, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: ак, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.86, Bbox: [38.29315948486328, 74.40801239013672, 2310.0, 2590.0]
