Text: вцепи, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: -де, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: кое-, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: девочка, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: аномалия, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: развития, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: кис, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: ти, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: нет, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: гипертрихоза, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: хауз, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: -с, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: мальчик, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: аномалия, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: развития, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: кис, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: ти, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: нет, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: гипертрихоза, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: ха-ха, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: девочка, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: нормальная, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: кисть, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: нет, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: гипертрихоза, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: а, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: мальчик, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: нормальная, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: кисть, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: нет, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: ги, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: науд, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: педтрихоза., Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: ответ, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: генотипы, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: родителей, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: и, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: генотипы, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: поскотина, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: и, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: пол, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: возможного, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: потомства, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: смотреть, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: схемы, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: скрещивание, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: В, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: первом, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: бровке, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: возможно, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: появление, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: ребенка, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: с, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: нормальным, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: развитием, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: кисти, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: и, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: приперт, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: изозома, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: т, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: из-за, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: кроссинговера, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: во, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: время, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: -де, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: -с, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: На, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: рисунке, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: в, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: изображен, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: безусловный, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: рефлекс, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: а, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: также, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: отсутствует, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: безразличный, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: раздражитель, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: -с, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: центр, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: безусловного, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: слюд, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: Рефикторный, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: центр, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
Text: безусловного, Number: 24, Confidence: 0.46, Bbox: [34.32088088989258, 2037.5802001953125, 2295.38232421875, 2588.14111328125]
